verified,ref,author,study_id,group,outcome,minority_rate,nhw_rate,source_location
,?,?,PMID41082230,Black,invasive_incidence,148.5,152.9,"SEER17 2013-2015, age-std Segi world, 20-74y; full-text Table 2"
,?,?,PMID41082230,Black,hrpos_incidence,105.4,128.5,ER-positive age-std; Black vs White
,?,?,PMID41082230,Black,hrneg_incidence,43.1,24.0,ER-negative age-std; Black vs White (aggressive)
,?,?,MMWR2022_35025856,Black,invasive_incidence,174.0,186.5,USCS 2018; SE Poisson-approx
,?,?,MMWR2022_35025856,Hispanic,invasive_incidence,134.0,186.5,USCS 2018; SE Poisson-approx
,?,?,MMWR2022_35025856,Asian,invasive_incidence,143.5,186.5,USCS 2018 A/PI (incl. PI); SE Poisson-approx
,?,?,MMWR2022_35025856,AIAN,invasive_incidence,127.3,186.5,USCS 2018; SE Poisson-approx
,?,?,DuSong2022_34861613,Black,invasive_incidence,183.1,190.5,"SEER 2012-2018, Table 2"
,?,?,DuSong2022_34861613,Hispanic,invasive_incidence,137.0,190.5,"SEER 2012-2018, Table 2"
,?,?,DuSong2022_34861613,Asian,invasive_incidence,149.2,190.5,"SEER 2012-2018 NHAPI, Table 2"
,?,?,DuSong2022_34861613,AIAN,invasive_incidence,139.9,190.5,"SEER 2012-2018, Table 2"
,?,?,DuSong2022_34861613,Black,hrneg_incidence,46.5,28.0,"SEER HR-negative, Table 3"
,?,?,DuSong2022_34861613,Hispanic,hrneg_incidence,23.3,28.0,"SEER HR-negative, Table 3"
,?,?,DuSong2022_34861613,Asian,hrneg_incidence,22.3,28.0,"SEER HR-negative NHAPI, Table 3"
,?,?,DuSong2022_34861613,AIAN,hrneg_incidence,21.9,28.0,"SEER HR-negative, Table 3"
,?,?,DuSong2022_34861613,Black,hrpos_incidence,114.1,146.6,"SEER HR-positive, Table 3"
,?,?,DuSong2022_34861613,Hispanic,hrpos_incidence,97.7,146.6,"SEER HR-positive, Table 3"
,?,?,DuSong2022_34861613,Asian,hrpos_incidence,109.5,146.6,"SEER HR-positive NHAPI, Table 3"
,?,?,DuSong2022_34861613,AIAN,hrpos_incidence,96.5,146.6,"SEER HR-positive, Table 3"
,?,?,DeSantis2016_26513636,Black,invasive_incidence,124.3,128.1,NAACCR 2008-2012; SE approx
,?,?,DeSantis2016_26513636,Hispanic,invasive_incidence,91.9,128.1,NAACCR 2008-2012; SE approx
,?,?,DeSantis2016_26513636,Asian,invasive_incidence,88.3,128.1,NAACCR 2008-2012 API; SE approx
,?,?,DeSantis2016_26513636,AIAN,invasive_incidence,91.9,128.1,NAACCR 2008-2012 CHSDA; SE approx
,?,?,Gopalani2020_31764279,AIAN,invasive_incidence,72.7,130.4,"IHS-linked, misclassification-corrected"
