pmid,title,year,journal,action,save_as
,Racial disparity in the incidence and mortality of young adults with breast cancer: A nationwide study.,2025,Journal of Clinical Oncology (2025) 43 Article Number: e13804. Date of Publication: 1 Jun 2025,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"Evaluating the impact of race, ethnicity, and neighborhood-level socioeconomic factors on invasive lobular carcinoma incidence and survival in the United States",2025,Clinical Cancer Research (2025) 31:12 Supplement. Date of Publication: 1 Jun 2025,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
39822259; http://www.ncbi.nlm.nih.gov/pubmed/39822259,"Ethnicity and breast cancer incidence in over 329,500 women in England in 2011-2019",2025,European journal of surgical oncology : the journal of the European Society of Surgical Oncology and the British Association of Surgical Oncology (2025). Date of Publication: 6 Jan 2025,Download PDF via institutional (school) access,fulltext/39822259; http://www.ncbi.nlm.nih.gov/pubmed/39822259.pdf
,Ethnic Admixture Affects Breast Cancer Incidence in Native Hawaiians: The Multiethnic Cohort,2024,Cancer Research (2024) 84:9 Supplement. Date of Publication: 1 May 2024,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"Incidence trends in triple-negative breast cancer among women in the United States from 2010 to 2019 by race/ethnicity, age and tumor stage",2023,American Journal of Cancer Research (2023) 13:2 (678-691). Date of Publication: 2023,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"TRENDS IN BREAST CANCER INCIDENCE AMONG YOUNG WOMEN AGED 20-49 YEARS IN THE UNITED STATES BY RACE, STAGE AND HORMONE RECEPTOR STATUS",2022,Irish Journal of Medical Science (2022) 191:SUPPL 1 (S16). Date of Publication: 1 Apr 2022,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"Examining converging breast cancer incidence rates by race/ethnicity, poverty, and geography",2021,Cancer Research (2021) 81:13 SUPPL. Date of Publication: 1 Jul 2021,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,Abstract LB-170: Breast cancer incidence and hormone therapy use before and after the women's health initiative (whi) estrogen (e) plus progestin (p) trial by race/ethnicity,2019,Cancer Research (2019) 79:13 Supplement. Date of Publication: 1 Jul 2019,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,Current and future incidence rates of invasive breast cancer between Black and White women,2018,Cancer Epidemiology Biomarkers and Prevention (2018) 27:7 Supplement. Date of Publication: 1 Jul 2018,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,Examining racial disparities in invasive breast cancer among younger women: An analysis using multiple measures of population health,2016,Value in Health (2016) 19:3 (A165). Date of Publication: May 2016,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,Incidence and survival among breast cancer patients in the United States by race and stage diagnosis: An analysis of national registry data 2000-2009,2012,Cancer Research (2012) 72:24 SUPPL. 3. Date of Publication: 15 Dec 2012,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004",2011,Journal of Women's Health (2011) 20:3 (325-331). Date of Publication: 1 Mar 2011,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
,"Cancer incidence in the South Asian population of California, 1988-2000",2005,Journal of Carcinogenesis (2005) 4 Article Number: 21. Date of Publication: 10 Nov 2005,Download PDF via institutional (school) access,fulltext/UNKNOWN.pdf
