reason,pmid,title,year,journal,doi,save_as
included: need PDF for extraction,,"Evaluating the impact of race, ethnicity, and neighborhood-level socioeconomic factors on invasive lobular carcinoma incidence and survival in the United States",2025,Clinical Cancer Research (2025) 31:12 Supplement. Date of Publication: 1 Jun 2025,10.1158/1557-3265.SABCS24-P3-03-09,fulltext/T_897a1c00e5ab.pdf
included: need PDF for extraction,,Ethnic Admixture Affects Breast Cancer Incidence in Native Hawaiians: The Multiethnic Cohort,2024,Cancer Research (2024) 84:9 Supplement. Date of Publication: 1 May 2024,10.1158/1538-7445.SABCS23-PO5-08-12,fulltext/T_59563691a486.pdf
included: need PDF for extraction,,"TRENDS IN BREAST CANCER INCIDENCE AMONG YOUNG WOMEN AGED 20-49 YEARS IN THE UNITED STATES BY RACE, STAGE AND HORMONE RECEPTOR STATUS",2022,Irish Journal of Medical Science (2022) 191:SUPPL 1 (S16). Date of Publication: 1 Apr 2022,10.1007/s11845-022-02939-6,fulltext/T_e629bdce4ee7.pdf
included: need PDF for extraction,,"Examining converging breast cancer incidence rates by race/ethnicity, poverty, and geography",2021,Cancer Research (2021) 81:13 SUPPL. Date of Publication: 1 Jul 2021,10.1158/1538-7445.AM2021-LB085,fulltext/T_9802b5c6c9ec.pdf
included: need PDF for extraction,,Abstract LB-170: Breast cancer incidence and hormone therapy use before and after the women's health initiative (whi) estrogen (e) plus progestin (p) trial by race/ethnicity,2019,Cancer Research (2019) 79:13 Supplement. Date of Publication: 1 Jul 2019,10.1158/1538-7445.am2019-lb-170,fulltext/T_63a99e6958da.pdf
included: need PDF for extraction,,Current and future incidence rates of invasive breast cancer between Black and White women,2018,Cancer Epidemiology Biomarkers and Prevention (2018) 27:7 Supplement. Date of Publication: 1 Jul 2018,10.1158/1538-7755.DISP17-A28,fulltext/T_a9067a06a05d.pdf
included: need PDF for extraction,,Incidence and survival among breast cancer patients in the United States by race and stage diagnosis: An analysis of national registry data 2000-2009,2012,Cancer Research (2012) 72:24 SUPPL. 3. Date of Publication: 15 Dec 2012,10.1158/0008-5472.SABCS12-P3-07-07,fulltext/T_bd255e880a99.pdf
included: need PDF for extraction,,"Time trends and racial differences in female breast cancer incidence in Pennsylvania, 1985-2004",2011,Journal of Women's Health (2011) 20:3 (325-331). Date of Publication: 1 Mar 2011,10.1089/jwh.2010.2082,fulltext/T_c5c84743a002.pdf
not retrieved: need to classify,27045151,Early Breast Cancer Screening for African- American Women: A Clarion Call to Arms.,2015,Journal of National Black Nurses' Association : JNBNA,,fulltext/27045151.pdf
not retrieved: need to classify,12592745,Highlights of recent cancer incidence data in Hawaii.,2003,Hawaii medical journal,,fulltext/12592745.pdf
not retrieved: need to classify,10716956,"Inner-city mammography programs aim to make breast cancer ""a visible disease"".",2000,Journal of the National Cancer Institute,,fulltext/10716956.pdf
not retrieved: need to classify,,CDC: Cancer incidence and survival improve; racial disparities persist,2015,Oncology Report (2015) 11:4 (13-14). Date of Publication: 1 Apr 2015,,fulltext/T_0801e2c6e4e4.pdf
not retrieved: need to classify,,Age-Related Crossover in Breast Cancer Incidence Rates between Black and White Women: Implications for Removing Racial Disparities in Breast Cancer Care,2009,Breast Diseases (2009) 20:2 (132-134). Date of Publication: 2009,10.1016/S1043-321X(09)79313-0,fulltext/T_180fa61dfcba.pdf
