decision,reason,pmid,doi,title
exclude,"Conference abstract (SABCS 2024, Clin Cancer Res suppl); reports ILC subtype incidence by race only (not overall invasive BC), relative differences without CI — not usable for quantitative synthesis",,,"Evaluating the impact of race, ethnicity, and neighborhood-level socioeconomic factors on invasive lobular carcinoma incidence and survival in the United States"
exclude,"News/commentary article (JNCI News section), not a primary study; cites SEER incidence (Black 99.3, White 113.2/100k) secondhand with no methods, person-years, or CI — not usable for quantitative synthesis",10716956,,"Inner-city mammography programs aim to make breast cancer a visible disease"
exclude,"Editorial/commentary ('A Clarion Call to Action'), not a primary incidence study; also unobtainable",27045151,,"Early Breast Cancer Screening for African-American Women A Clarion Call to Action"
exclude,"News article (MDedge) reporting on a CDC release, not a primary study — secondhand, no methods or CI",,,"CDC Cancer incidence and survival improve racial disparities persist"
exclude,"Conference abstract (AACR 2021 late-breaking); conference abstracts excluded per protocol — not peer-reviewed, incomplete data (no CI/person-years)",,10.1158/1538-7445.AM2021-LB085,"Examining converging breast cancer incidence rates by race ethnicity"
exclude,"Conference abstract (SABCS 2023 poster); conference abstracts excluded per protocol",,10.1158/1538-7445.SABCS23-PO5-08-12,"Ethnic Admixture Affects Breast Cancer Incidence in Native Hawaiians"
exclude,"Conference abstract (SABCS 2012 poster); conference abstracts excluded per protocol",,10.1158/0008-5472.SABCS12-P3-07-07,"Incidence and survival among breast cancer patients in the United States"
exclude,"Conference abstract (AACR Disparities 2017); conference abstracts excluded per protocol",,10.1158/1538-7755.DISP17-A28,"Current and future incidence rates of invasive breast cancer"
exclude,"Conference abstract (AACR 2019 late-breaking LB-170); conference abstracts excluded per protocol",,10.1158/1538-7445.am2019-lb-170,"Abstract LB-170 Breast cancer incidence and hormone therapy use"
exclude,"News highlight in Cancer (not original research) summarizing a TNBC study",25329509,,"Race a factor in incidence of triple negative breast cancer"
exclude,"JNCI 'Stat bite' — a statistical factoid item, not a primary study",17179475,,"Stat bite Breast cancer in young U.S. women"
exclude,"Breast Diseases: A Year Book Quarterly digest (secondary reprint/commentary), not a primary study",,10.1016/S1043-321X(09)79313-0,"Age-Related Crossover in Breast Cancer Incidence Rates between Black and White women"
exclude,"BMJ editorial (b91), not a primary incidence study",19139139,,"Ethnicity influences breast cancer risk diagnosis and treatment"
narrative,"Eligible primary study (PA Cancer Registry 1985-2004) but abstract gives only direction (white>black) and APC trends — no age-adjusted rates by race or rate ratio/CI; full text unobtainable. Include in review narrative, not in meta-analysis",,10.1089/jwh.2010.2082,"Time Trends and Racial Differences in Female Breast Cancer Incidence in Pennsylvania 1985-2004"
exclude,"ASCO annual meeting abstract (J Clin Oncol e13804, 'Publication Only') — conference abstract, excluded per protocol. NB: reports SEER AYA incidence by race but not a peer-reviewed full paper",,,"Racial disparity in the incidence and mortality of young adults with breast cancer A nationwide study"
exclude,"Supplied PDF content is a Value in Health / ISPOR conference proceedings page (genomic-test access, Pan-Canadian drug review) — off-topic and does not match the record; conference abstract / wrong document, excluded (re-check if a real full paper exists)",,,"Examining racial disparities in invasive breast cancer among"
exclude,"Not indexed in PubMed (no PMID); Irish J Med Sci (publishes IACR meeting-abstract supplements), all-caps title — appears to be a conference abstract, excluded per protocol; also Ireland-based, unlikely to report US race/ethnicity comparison. REVERSIBLE if doi.org shows a full article with racial incidence data",,10.1007/s11845-022-02939-6,"TRENDS IN BREAST CANCER INCIDENCE AMONG YOUNG WOMEN AGED 20-49"
