TITLE,AUTHOR NAMES,PUBLICATION YEAR,SOURCE,PUBLICATION TYPE,ABSTRACT,MEDLINE PMID
Treatment and survival disparities in acral lentiginous melanoma: a National Cancer Database multivariate analysis,"Chang R.C., Brunsgaard E.K., Reid D.C.",2025,Melanoma Research (2025) 35:6 (409-417),Article,"This retrospective cohort study evaluated disparities across insurance types, racial groups, and socioeconomic status (SES) in acral lentiginous melanoma (ALM). We analyzed adults diagnosed with ALM in the National Cancer Database from 2016-2020. Black patients were more likely uninsured, had higher comorbidity scores, resided in areas of lower income and education, and had significantly lower survival at 3 and 5 years compared with White patients.",40773363
"Trends and disparities in melanoma mortality among older adults: A SEER analysis, 2000-2023","Akgun S., Demirci A., Yilmaz F.B.",2025,JCO Oncology Practice (2025) 21,Article,"Retrospective analysis of mortality trends among melanoma patients aged 65+ using SEER 2000-2023. Non-Hispanic White patients had the highest AAMR (14.6 per 100,000), followed by Hispanic (3.7), non-Hispanic Black (2.1), non-Hispanic Asian/Pacific Islander (1.7).",
Disparities in acral lentiginous melanoma: Factors beyond delayed diagnosis,"Grant S., Revan D., Tang L., Attwood K., Skitzki J., Paragh G.",2025,Journal of the American Academy of Dermatology (2025) 93:4 (1018-1026),Article,Cutaneous melanoma cases from SEER database analyzed by race in 4 major melanoma histological subtypes. ALM was the only subtype where Black patients faced significantly higher mortality risk (HR=2.04) vs White patients.,40562077
"Disparities in Melanoma and Other High-Risk Skin Cancers in the United States: Elders, Minorities, and Rural Populations",Asare E.A.,2025,Surgical Clinics of North America (2025) 105:3 (543-554),Review,"Review of disparities in melanoma, BCC, SCC, and MCC across minority populations in the US. Cancer incidence and mortality data by race/ethnicity.",40412885
"Cutaneous melanoma trends and disparities in Florida: A decade of incidence, mortality, and workforce data","Aristizabal M.A., Evans L.A., Pincelli T.P., Degesys C.A., Barbosa N.S.",2025,Journal of the American Academy of Dermatology (2025) 92:6 (1452-1454),Article,Melanoma incidence and mortality trends in Florida by race/ethnicity over a decade.,40010507
"Skin cancer risk across racial/ethnic groups among solid organ transplant recipients in the United States, 2000-2022","Ojute F., Zakaria A., Zullo S., Klufas D., Amerson E.",2025,Journal of the American Academy of Dermatology (2025) 92:4 (884-887),Article,"Cancer incidence of skin cancer across racial/ethnic groups in solid organ transplant recipients in US, 2000-2022. Includes hazard ratios by race for BCC, SCC, melanoma.",39579990
Acral Melanoma in Skin of Color: Current Insights and Future Directions: A Narrative Review,"Nadelmann E.R., Singh A.K., Abbruzzese M.",2025,Cancers (2025) 17:3,Review,Review of ALM epidemiology in various racial/ethnic groups. Significant disparities in ALM outcomes exist across racial and ethnic groups.,
Incidence of melanoma in situ among racial and ethnic minorities in the United States,"Dhaliwal G.S., Greene A., Ho A., Mangold A.R., Costello C.M.",2025,JAAD International (2025) 18 (20-21),Article,Incidence rates of melanoma in situ by race/ethnicity among US racial and ethnic minorities.,
Racial and Ethnic Differences in the Risk of Second Primary Melanoma,"Zhang S., Patel V.R., Spencer J.C., Haynes A.B., Adamson A.S.",2024,JAMA Dermatology (2024) 160:12,Article,Racial and ethnic differences in the incidence of second primary melanoma in the US.,39382874
Sexual Orientation and Lifetime Prevalence of Skin Cancer Across Racial and Ethnic Groups,"Rypka K.J., Wendland Z.D., Steele M.V., Wehner M.R., Yeung H., Mansh M.D.",2024,JAMA Dermatology (2024) 160:9 (977-983),Article,"Cross-sectional study using BRFSS 2014-2021. Lifetime prevalence of skin cancer by race/ethnicity. Non-Hispanic White 8.5%, Hispanic 1.8%, non-Hispanic Black 0.5%, Asian/Pacific Islander rates reported.",39018081
Sex disparities in melanoma presentation and disease-specific survival in Asian and Pacific Islanders diagnosed with cutaneous melanoma,"Taylor M.A., Mishra A., Thomas S., Sharma D., Wei E.X.",2024,Archives of Dermatological Research (2024) 316:7,Article,Melanoma incidence and survival in Asian and Pacific Islander populations using SEER database.,38904788
Rural Health Disparities in Skin Cancer Amplified Among Skin of Color,"Lin R.R., Lee J., Maderal A.D., Elman S.A.",2024,Journal of Drugs in Dermatology (2024) 23:6 (480-484),Article,"Cross-sectional study BRFSS 2018-2021. Prevalence of skin cancer history by race and rural/urban status. Rural non-Hispanic White OR=1.40, rural Black OR=1.74, rural Hispanic OR=2.31 vs urban counterparts.",38834209
Keratinocyte Carcinoma Incidence by Race and Ethnicity in Older Adults with Medicare Coverage,"Navsaria L.J., Li Y., Tripathy S., Mohr C.A., Hinkston C.L., Margolis D.J., Wehner M.R.",2024,JAMA Dermatology (2024) 160:1 (109-111),Article,Incidence of BCC and SCC by race and ethnicity in Medicare-covered older adults.,38019561
Non-melanoma skin cancer in solid organ transplant recipients with skin of color,"Lin J.Y., Wang J., Mishra K.",2024,Journal of the American Academy of Dermatology (2024) 90:1 (159-160),Article,"Prevalence of NMSC in solid organ transplant recipients with skin of color (Black, Hispanic, Asian, American Indian patients).",37689168
Racial and ethnic minorities in lower income brackets are associated with late-stage diagnosis of non-ocular melanoma,"Joshi P., Ogobuiro I., Hernandez A.",2023,Cancer Epidemiology (2023) 87,Article,"SEER 2000-2019 analysis. Male gender, Black race, Asian/Pacific Islander, and Hispanic ethnicity significantly associated with late-stage melanoma diagnosis.",37979223
Racial disparities in diagnosis of invasive melanoma among veterans: A comparative analysis with SEER,"Lim R.K., Weinstock M.A.",2023,Journal of the American Academy of Dermatology (2023) 89:4 (806-808),Article,Racial disparities in melanoma incidence and staging among veterans compared to SEER general population.,37257778
"Acral lentiginous melanoma incidence by sex, race, ethnicity, and stage in the United States, 2010-2019","Holman D.M., King J.B., White A., Singh S.D., Lichtenfeld J.L.",2023,Preventive Medicine (2023) 175,Article,"Age-adjusted ALM incidence rates by race/ethnicity using CDC NPCR and NCI SEER 2010-2019. Non-Hispanic Black 1.8/million, Asian/PI 1.7/million, Hispanic Black/AI/AN/API 1.5/million, non-Hispanic White 2.3/million. Hispanic White 2.8/million.",37659614
"Racial and ethnic differences in males with melanoma: A retrospective cohort study of 205,125 cases","Fernandez J.M., Mata E.M., Bubic B.N., Kwan K.R., Whitley M.J., Wysong A.",2023,Journal of the American Academy of Dermatology (2023) 89:4 (828-832),Article,National Cancer Database analysis of racial/ethnic differences in melanoma in males.,37436331
Melanoma in skin of color: Part I. Epidemiology and clinical presentation,"Brunsgaard E.K., Wu Y.P., Grossman D.",2023,Journal of the American Academy of Dermatology (2023) 89:3 (445-456),Review,Review of melanoma epidemiology in skin of color populations. Higher incidence among non-Hispanic Whites but higher proportion of ALM and mucosal melanoma among skin of color.,35533771
"Melanoma in skin of color: Part II. Racial disparities, role of UV, and interventions","Brunsgaard E.K., Jensen J., Grossman D.",2023,Journal of the American Academy of Dermatology (2023) 89:3 (459-468),Review,"Despite higher incidence of melanoma in White individuals, melanoma-specific survival is worse among individuals with skin of color.",35533770
