record_id,status,triage,title
2,DONE,DONE,US incidence of breast cancer subtypes defined by joint
10,DONE,DONE,Breast Cancer Incidence Rates in Ghanaian and US Black 
12,DONE,DONE,Disparities and trends of the incidence and mortality o
28,DONE,DONE,Invasive breast cancer among Alaska Native women in Ala
66,DONE,DONE,Age distributions of breast cancer diagnosis and mortal
100,DONE,DONE,Invasive breast cancer incidence trends by detailed rac
107,DONE,DONE,Quantification of Potential Inequities in Breast Cancer
146,DONE,DONE,Breast Cancer Incidence Among US Women Aged 20 to 49 Ye
155,DONE,DONE,State Variation in Racial and Ethnic Disparities in Inc
161,DONE,DONE,The high and heterogeneous burden of breast cancer in H
169,DONE,DONE,"Trends in Breast Cancer Incidence, by Race, Ethnicity, "
182,DONE,DONE,Vital signs: Racial disparities in breast cancer severi
199,DONE,DONE,Breast cancer epidemiology in blacks and whites: Dispar
200,DONE,DONE,Breast Cancer Incidence in Black and White Women Strati
203,DONE,DONE,Recent trends in breast cancer among younger women in t
234,DONE,DONE,"Breast Cancer Incidence in Asian American, Native Hawai"
236,DONE,DONE,Hidden breast cancer disparities in Asian women: disagg
265,DONE,DONE,Age-related crossover in breast cancer incidence rates 
286,DONE,DONE,Variation in breast cancer subtype incidence and distri
324,DONE,DONE,"Breast cancer in Asian Americans in California, 1988–20"
333,DONE,DONE,Breast cancer incidence patterns among california hispa
346,DONE,DONE,Patterns and Trends in Age-Specific Black-White Differe
381,DONE,DONE,Age/race differences in HER2 testing and in incidence r
463,DONE,DONE,Recent trends in breast cancer incidence among 6 Asian 
485,DONE,DONE,Trends in area-socioeconomic and race-ethnic disparitie
500,DONE,DONE,Trends in Cancer Incidence among American Indians and A
522,DONE,DONE,Characterizing breast cancer incidence and trends among
1478,DONE,DONE,"Cancer incidence, stage at diagnosis, and trends across"
2131,DONE,DONE,"Associations of Obesity, Physical Activity, and Screeni"
2406,DONE,DONE,Subtype-specific breast cancer incidence rates in black
2510,DONE,DONE,Disparities in cancer incidence and trends among Americ
3182,DONE,DONE,Cancer incidence in first generation U.S. Hispanics: Cu
3298,DONE,DONE,Patterns of cancer incidence among US Hispanics/Latinos
3398,DONE,DONE,Cancer incidence patterns in Koreans in the US and in K
3662,DONE,DONE,Incidence of and Trends in the Leading Cancers with Ele
4040,DONE,DONE,Cancer incidence and mortality patterns among specific 
4098,DONE,DONE,"Cancer incidence, mortality, and associated risk factor"
51,TODO,TODO-pool,The Alaska Native Tumour Registry: fifty years of cance
76,TODO,TODO-pool,Trends in breast cancer by race and ethnicity
93,TODO,TODO-pool,Disparities in breast cancer subtypes among women in th
103,TODO,TODO-pool,Age-specific incidence of breast cancer subtypes: Under
119,TODO,TODO-pool,Disparities of cancer incidence in Michigan's American 
145,TODO,TODO-pool,Persistence in breast cancer disparities between Africa
188,TODO,TODO-pool,Trends in breast cancer by race and ethnicity: Update 2
210,TODO,TODO-pool,Breast cancer incidence trends in Asian women aged 20 o
246,TODO,TODO-pool,Does socioeconomic disparity in cancer incidence vary a
259,TODO,TODO-pool,What can we learn from the age- and race/ethnicity- spe
284,TODO,TODO-pool,Trends in Female Breast Cancer Incidence among Japanese
322,TODO,TODO-pool,Inter- and intra-ethnic differences for female breast c
336,TODO,TODO-pool,Early- and late-onset breast cancer types among women i
339,TODO,TODO-pool,"Cancers of the breast, uterus, ovary and cervix among A"
361,TODO,TODO-pool,Decline in US breast cancer rates after the Women's Hea
377,TODO,TODO-pool,Racial/ethnicity disparities in invasive breast cancer 
383,TODO,TODO-pool,Rates for breast cancer characteristics by estrogen and
448,TODO,TODO-pool,Race/ethnicity and changing US socioeconomic gradients 
453,TODO,TODO-pool,Racial differences in the incidence of breast cancer su
455,TODO,TODO-pool,Comparison of clinicopathologic features and survival i
480,TODO,TODO-pool,Changes in the pattern of breast cancer burden among Af
701,TODO,TODO-pool,Geographic differences in early-onset breast cancer inc
1336,TODO,TODO-pool,Disparities in breast cancer incidence and survival by 
1398,TODO,TODO-pool,Early-Onset Cancer Incidence Disparities Between Black 
2548,TODO,TODO-pool,"Cancer patterns in Hmong in Minnesota, 2000 to 2012"
3230,TODO,TODO-pool,Cancer in American Indian and Alaska Native Young Adult
3247,TODO,TODO-pool,Cancer incidence rates among South Asians in four geogr
