record_id,author_year,outcome_dim,minority_group,registry_family,coverage_tier,period,provenance,irr,irr_ci_lo,irr_ci_hi,cluster,main_analysis,representative_reason
107,Zahrieh2021_NM-SEER,AIAN,AIAN,SEER-national,6,2005-2014,directly-reported-IRR,0.384,0.253,0.546,AIAN | AIAN | national,no (AIAN undercount),unlinked national registry undercounts AIAN; IHS-PRCDA representative preferred
2510,Melkonian2019_IHS-PRCDA,AIAN,AIAN,IHS-PRCDA,5,2012-2016,directly-reported-IRR,0.87,,,AIAN | AIAN | IHS-PRCDA,yes (representative),sole estimate in cell
1478,Yazzie2025_Navajo,AIAN,AIAN (Navajo),IHS-PRCDA,5,2014-2018,directly-reported-IRR,0.49,0.44,0.55,AIAN | AIAN (Navajo) | IHS-PRCDA,yes (representative),sole estimate in cell
3662,Melkonian2021_IHS-PRCDA,AIAN,AIAN (Northern Plains),IHS-PRCDA,5,2012-2016,directly-reported-IRR,1.33,1.26,1.41,AIAN | AIAN (Northern Plains) | IHS-PRCDA,yes (representative),sole estimate in cell
3662,Melkonian2021_IHS-PRCDA,AIAN,AIAN (Southern Plains),IHS-PRCDA,5,2012-2016,directly-reported-IRR,1.25,1.11,1.41,AIAN | AIAN (Southern Plains) | IHS-PRCDA,yes (representative),sole estimate in cell
28,Nash2019_ANTR,AIAN,Alaska Native,SEER-national,6,2009-2014,directly-reported-IRR,1.09,0.99,1.21,AIAN | Alaska Native | national,no (AIAN undercount),unlinked national registry undercounts AIAN; IHS-PRCDA representative preferred
51,Nash2022,AIAN,Alaska Native,Other/unspecified,1,2014-2018,computed-from-rates-with-CI,0.952,0.851,1.065,AIAN | Alaska Native | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
3182,Pinheiro2009_FL,Hispanic-origin,Cuban,State: Florida,4,1999-2001,computed-from-rates-with-CI,0.755,0.677,0.842,Hispanic-origin | Cuban | national,yes (representative),sole estimate in cell
3298,Carozza2006_multistate,Hispanic-origin,Hispanic/Latina (aggregate),NAACCR/CiNA (~93%),8,1995-2000,directly-reported-SIR,0.64,,,Hispanic-origin | Hispanic/Latina (aggregate) | national,yes (representative),best of 2 in cell by provenance/coverage/period
4333,Wilkinson2002,Hispanic-origin,Hispanic/Latina (aggregate),State: Florida,4,1990-1998,computed-from-rates-with-CI,0.651,0.624,0.679,Hispanic-origin | Hispanic/Latina (aggregate) | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
3182,Pinheiro2009_FL,Hispanic-origin,Mexican,State: Florida,4,1999-2001,computed-from-rates-with-CI,0.503,0.376,0.673,Hispanic-origin | Mexican | national,yes (representative),sole estimate in cell
3182,Pinheiro2009_FL,Hispanic-origin,New Latino,State: Florida,4,1999-2001,computed-from-rates-with-CI,0.684,0.619,0.756,Hispanic-origin | New Latino | national,yes (representative),sole estimate in cell
3182,Pinheiro2009_FL,Hispanic-origin,Puerto Rican,State: Florida,4,1999-2001,computed-from-rates-with-CI,0.817,0.726,0.920,Hispanic-origin | Puerto Rican | national,yes (representative),sole estimate in cell
265,Anderson2008_SEER_19066264,age-ge40,Black,SEER-national,6,2008,computed-from-rates-with-CI,0.851,0.841,0.862,age-ge40 | Black | national,yes (representative),sole estimate in cell
485,Harper2009_SEER,age-ge50,AIAN,SEER-national,6,2004,computed-from-rates,0.647,,,age-ge50 | AIAN | national,yes (representative),sole estimate in cell
485,Harper2009_SEER,age-ge50,Asian/PI (aggregate),SEER-national,6,2004,computed-from-rates,0.659,,,age-ge50 | Asian/PI (aggregate) | national,yes (representative),sole estimate in cell
485,Harper2009_SEER,age-ge50,Black,SEER-national,6,2004,computed-from-rates,0.914,,,age-ge50 | Black | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-ge50,Filipina,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,0.774,0.700,0.855,age-ge50 | Filipina | national,yes (representative),sole estimate in cell
485,Harper2009_SEER,age-ge50,Hispanic,SEER-national,6,2004,computed-from-rates,0.660,,,age-ge50 | Hispanic | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-ge50,Japanese,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,1.064,0.978,1.157,age-ge50 | Japanese | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-ge50,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,1.366,1.246,1.499,age-ge50 | Native Hawaiian | national,yes (representative),sole estimate in cell
203,Brinton2008_SEER13,age-lt40,Black,SEER-national,6,1992-2004,computed-from-rates-Poisson-SE,1.533,1.352,1.739,age-lt40 | Black | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
265,Anderson2008_SEER_19066264,age-lt40,Black,SEER-national,6,2008,computed-from-rates-with-CI,1.183,1.142,1.226,age-lt40 | Black | national,yes (representative),best of 2 in cell by provenance/coverage/period
199,Baquet2008_SEER9,age-lt40,Black (age<40),SEER-national,6,1995-2004,directly-reported-IRR,1.16,1.1,1.23,age-lt40 | Black (age<40) | national,yes (representative),sole estimate in cell
146,Xu2024_SEER,age-lt50,AIAN,SEER-national,6,2000-2019,directly-reported-IRR,0.75,0.72,0.79,age-lt50 | AIAN | national,yes (representative),sole estimate in cell
146,Xu2024_SEER,age-lt50,Asian/PI (aggregate),SEER-national,6,2000-2019,directly-reported-IRR,0.96,0.95,0.97,age-lt50 | Asian/PI (aggregate) | national,yes (representative),sole estimate in cell
146,Xu2024_SEER,age-lt50,Black,SEER-national,6,2000-2019,directly-reported-IRR,1.01,1.0,1.03,age-lt50 | Black | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-lt50,Filipina,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,0.768,0.633,0.932,age-lt50 | Filipina | national,yes (representative),sole estimate in cell
146,Xu2024_SEER,age-lt50,Hispanic,SEER-national,6,2000-2019,directly-reported-IRR,0.76,0.75,0.77,age-lt50 | Hispanic | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-lt50,Japanese,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,1.479,1.252,1.748,age-lt50 | Japanese | national,yes (representative),sole estimate in cell
522,Ihenacho2023_HTR,age-lt50,Native Hawaiian,Hawaii Tumor Registry (SEER),2,2010-2014,computed-from-rates-with-CI,0.858,0.710,1.036,age-lt50 | Native Hawaiian | national,yes (representative),sole estimate in cell
169,Ellington2022_USCS,aggregate-vs-NHW,AIAN,USCS(NPCR+SEER ~99%),9,2018,computed-from-rates-Poisson-SE,0.683,0.642,0.726,aggregate-vs-NHW | AIAN | national,no (AIAN undercount),unlinked national registry undercounts AIAN; IHS-PRCDA representative preferred
2131,Xie2022_USCS,aggregate-vs-NHW,AIAN,USCS(NPCR+SEER ~99%),9,1999-2017,computed-from-rates-with-CI,0.718,0.707,0.728,aggregate-vs-NHW | AIAN | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
234,Gomez2026_SEER21,aggregate-vs-NHW,AIAN,SEER-national,6,2018-2022,computed-from-rates-with-CI,0.708,0.677,0.739,aggregate-vs-NHW | AIAN | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
66,Hendrick2021_SEER9,aggregate-vs-NHW,AIAN,SEER-national,6,2013-2017,directly-reported-IRR,0.58,0.52,0.65,aggregate-vs-NHW | AIAN | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
SEER-EXPL,SEER22_Explorer_2019-2023,aggregate-vs-NHW,AIAN,SEER-national,6,2019-2023,computed-from-rates-with-CI,0.846,0.808,0.887,aggregate-vs-NHW | AIAN | national,no (registry-direct anchor),"SEER-Explorer reference, not a screened study"
500,Gopalani2020_31764279,aggregate-vs-NHW,AIAN,IHS-PRCDA,5,1999-2015,computed-from-rates,0.560,0.550,0.570,aggregate-vs-NHW | AIAN | IHS-PRCDA,yes (representative),sole estimate in cell
12,Zhang2025_USCS_female,aggregate-vs-NHW,AIAN,Other/unspecified,1,2017-2021,directly-reported-IRR,0.81,0.77,0.85,aggregate-vs-NHW | AIAN | national,no (overlaps representative),collapses to cell representative (same outcome x group x family)
169,Ellington2022_USCS,aggregate-vs-NHW,Asian/PI (aggregate),USCS(NPCR+SEER ~99%),9,2018,computed-from-rates-Poisson-SE,0.769,0.752,0.788,aggregate-vs-NHW | Asian/PI (aggregate) | national,yes (representative),best of 5 in cell by provenance/coverage/period
