record_id,citation,registry_family,registry_family_norm,registry_system_detected,study_period,pct_us,outcome_dimension,overlap_cluster,synthesis,main_analysis,representative_reason
51,The Alaska Native Tumour Registry: fifty years of cancer sur (2022),Alaska Native Tumor Registry,Alaska-Native-Registry,SEER9,2009-2013,,AIAN,Alaska-Native-Registry | AIAN,quantitative,no (overlaps representative),collapses to rep 339 (same registry-family x outcome)
339,"Cancers of the breast, uterus, ovary and cervix among Alaska (2010)",Alaska Native Tumor Registry,Alaska-Native-Registry,SEER9,1974-2003,,AIAN,Alaska-Native-Registry | AIAN,quantitative,yes (representative),widest coverage/longest-recent period in cluster (2 studies)
2440,Cancer incidence and associations with known risk and protec (2019),Alaska EARTH cohort (ANTR),Alaska-Native-Registry,(state/regional),2004-2015,,aggregate-BlackWhite,Alaska-Native-Registry | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
28,Invasive breast cancer among Alaska Native women in Alaska (2019),Alaska Native Tumor Registry,Alaska-Native-Registry,SEER9,2005-2014,,male-BC,Alaska-Native-Registry | male-BC,quantitative,yes (representative),sole study in cluster
272,Cancer rates among American Indians and Alaska Natives: is t (2003),SEER + ANTR,Alaska-Native-Registry,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1975-1997,,subtype,Alaska-Native-Registry | subtype,quantitative,yes (representative),sole study in cluster
134,Breast cancer incidence among American Indian and Alaska Nat (2008),SEER/NPCR (IHS-linked),California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1999-2004,,AIAN,California-CCR | AIAN,quantitative,no (overlaps representative),collapses to rep 3230 (same registry-family x outcome)
461,"Trends and Patterns of Late and Unstaged Lung, Colorectal, F (2015)",NE/ND/SD state registries,California-CCR,NAACCR/CiNA(~93%),2002-2009,,AIAN,California-CCR | AIAN,quantitative,no (overlaps representative),collapses to rep 3230 (same registry-family x outcome)
3230,Cancer in American Indian and Alaska Native Young Adults (Ag (2008),NPCR+SEER (IHS-linked),California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1999-2004,1,AIAN,California-CCR | AIAN,quantitative,yes (representative),widest coverage/longest-recent period in cluster (3 studies)
354,Explaining geographic variation in breast and cervical cance (2005),SEER (11 registries),California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1995-2000,,Hispanic-origin,California-CCR | Hispanic-origin,narrative,no (narrative),narrative synthesis only
1637,Cancer Incidence in the Hispanic Community Health Study/Stud (2025),HCHS/SOL + state registries,California-CCR,SEER22 + NAACCR/CiNA(~93%),2019-2020,11.2,Hispanic-origin,California-CCR | Hispanic-origin,narrative,no (narrative),narrative synthesis only
3182,"Cancer incidence in first generation U.S. Hispanics: Cubans, (2009)",Florida Cancer Data System,California-CCR,NAACCR/CiNA(~93%),1999-2001,,Hispanic-origin,California-CCR | Hispanic-origin,quantitative,no (overlaps representative),collapses to rep 3298 (same registry-family x outcome)
3298,"Patterns of cancer incidence among US Hispanics/Latinos, 199 (2006)",NAACCR,California-CCR,NAACCR/CiNA(~93%),1995-2000,13,Hispanic-origin,California-CCR | Hispanic-origin,quantitative,yes (representative),widest coverage/longest-recent period in cluster (2 studies)
587,Breast cancer in the middle eastern population of California (2009),California Cancer Registry,California-CCR,NAACCR/CiNA(~93%),1988-1999,,MiddleEastern-Arab,California-CCR | MiddleEastern-Arab,quantitative,no (overlaps representative),collapses to rep 3275 (same registry-family x outcome)
3275,Cancer incidence in the Middle Eastern population of Califor (2007),California Cancer Registry,California-CCR,NAACCR/CiNA(~93%),1988-2004,,MiddleEastern-Arab,California-CCR | MiddleEastern-Arab,quantitative,yes (representative),widest coverage/longest-recent period in cluster (2 studies)
100,Invasive breast cancer incidence trends by detailed race/eth (2012),LA County (CSP/CA-SEER),California-CCR,NAACCR/CiNA(~93%),1988-1997,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,no (overlaps representative),collapses to rep 158 (same registry-family x outcome)
144,Rapidly rising breast cancer incidence rates among Asian-Ame (2002),LA County / CCR + SEER,California-CCR,(state/regional),1993-1997,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,no (overlaps representative),collapses to rep 158 (same registry-family x outcome)
158,Trends in breast cancer incidence rates by race/ethnicity: P (2022),NAACCR CiNA,California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1999-2017,99,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,yes (representative),widest coverage/longest-recent period in cluster (6 studies)
178,Trends in stage at diagnosis for young breast cancer patient (2019),NAACCR (42 states) + SEER,California-CCR,SEER18 + NAACCR/CiNA(~93%),2001-2015,82,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
182,Vital signs: Racial disparities in breast cancer severity -  (2012),USCS,California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),2005-2009,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,no (overlaps representative),collapses to rep 158 (same registry-family x outcome)
316,Early estimates of cancer incidence for 2015: Expanding to i (2018),SEER 18,California-CCR,SEER18 + NAACCR/CiNA(~93%),2000-2014,28,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
480,Changes in the pattern of breast cancer burden among African (2015),SEER + NPCR + NAACCR (29 states),California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1998-2010,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,no (overlaps representative),collapses to rep 158 (same registry-family x outcome)
504,Cancer Incidence and Trends in Persistent Poverty Areas of C (2025),California Cancer Registry,California-CCR,NAACCR/CiNA(~93%),2006-2020,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
565,Cancer in Guam and Hawaii: A comparison of two U.S. Island p (2017),Guam CR + Hawaii TR,California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),2009-2013,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
916,Disparities in cancer incidence by rurality in California (2023),California Cancer Registry,California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),2006-2015,93,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,narrative,no (narrative),narrative synthesis only
4027,Cancer incidence among Asian American populations in the Uni (2016),SEER + state (NPCR),California-CCR,USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),2009-2011,,aggregate-BlackWhite,California-CCR | aggregate-BlackWhite,quantitative,no (overlaps representative),collapses to rep 158 (same registry-family x outcome)
188,Trends in breast cancer by race and ethnicity: Update 2006 (2006),SEER + NAACCR,California-CCR,SEER9 + USCS(NPCR+SEER ~99%) + NAACCR/CiNA(~93%),1975-1979,,aggregate-multi,California-CCR | aggregate-multi,quantitative,no (overlaps representative),collapses to rep 2610 (same registry-family x outcome)
2610,"The fluctuating incidence, improved survival of patients wit (2018)",SEER 9,California-CCR,NAACCR/CiNA(~93%),1981-1990,,aggregate-multi,California-CCR | aggregate-multi,quantitative,yes (representative),widest coverage/longest-recent period in cluster (2 studies)
4429,Cancer risk in different generations of Middle Eastern immig (2017),California Cancer Registry,California-CCR,(state/regional),1988-2013,,aggregate-multi,California-CCR | aggregate-multi,narrative,no (narrative),narrative synthesis only
49,"Cancer incidence in the Hmong in California, 1988-2000 (2005)",California Cancer Registry,California-CCR,(state/regional),1988-1991,,disaggregated-AANHPI,California-CCR | disaggregated-AANHPI,quantitative,no (overlaps representative),collapses to rep 234 (same registry-family x outcome)
101,Cumulative Incidence Rates of Breast Cancer by Age for Filip (2020),Guam CR + Hawaii TR + SEER,California-CCR,NAACCR/CiNA(~93%),2000-2004,28,disaggregated-AANHPI,California-CCR | disaggregated-AANHPI,narrative,no (narrative),narrative synthesis only
203,Recent trends in breast cancer among younger women in the Un (2008),SEER 13,California-CCR,SEER13 + NAACCR/CiNA(~93%),1992-1995,,disaggregated-AANHPI,California-CCR | disaggregated-AANHPI,quantitative,no (overlaps representative),collapses to rep 234 (same registry-family x outcome)
234,"Breast Cancer Incidence in Asian American, Native Hawaiian,  (2026)",SEER-21,California-CCR,SEER21 + NAACCR/CiNA(~93%),2000-2022,,disaggregated-AANHPI,California-CCR | disaggregated-AANHPI,quantitative,yes (representative),widest coverage/longest-recent period in cluster (7 studies)
