record_id,citation,pmid,doi,exclusion_reason,detail
5,"Stage IV Breast Cancer Incidence and Survival, 2010-202 (2026)",42118535,10.1001/jamanetworkopen.2026.12042,Did not report the outcome of interest,stage IV-specific incidence not overall invasive by race vs NHW
79,Breast cancer among hispanic and non-hispanic white women in Arizona (2007),18065856,,Did not report the outcome of interest,tumor-characteristic odds (stage/size) NHW-ref; no age-adjusted incidence rate per 100k reported
251,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors (2021)",32671723,10.1007/s12282-020-01132-w,Did not report the outcome of interest,ecological area-level TNBC correlates; no race-specific incidence vs NHW
277,Race/Ethnicity and Age Distribution of Breast Cancer Diagnosis in the United  States (2018),29516087,10.1001/jamasurg.2018.0035,Did not report the outcome of interest,JAMA research letter; reports age distribution & stage NOT age-adjusted incidence rates
278,"Incidence of breast cancer with distant involvement among women in the United States, 1976 to 2009 (2013)",23443443,10.1001/jama.2013.776,Did not report the outcome of interest,advanced/distant-involvement incidence not overall invasive by race
321,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study (2016),27118258,10.1186/s12885-016-2324-z,Did not report the outcome of interest,Texas breast incidence by income/geography; stratified by SES not race/ethnicity vs NHW
385,"Disparities in Stage at Presentation for Disaggregated Asian American, Native Hawaiian, and Pacific Islander Patients with Breast Cancer (2025)",,10.1245/s10434-025-16974-x,Did not report the outcome of interest,outcome is advanced-stage odds not incidence rates
985,"The risk of developing breast cancer within the next 5, 10, or 20 years of a woman's life (2001)",11275449,10.1016/s0749-3797(00)00314-7,Did not report the outcome of interest,age-conditional/lifetime risk overall California women; NOT stratified by race/ethnicity
1015,Breast cancer trends among young women in the United States (2006),16804474,10.1097/01.ede.0000229195.98786.ee,Did not report the outcome of interest,young women incidence trends by age; NOT stratified by race/ethnicity
1470,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations (2026)",42377962,10.1001/jamanetworkopen.2026.21259,Did not report the outcome of interest,invited commentary accompanying rec 234 (JAMA Netw Open); no independent incidence data
3369,Is male breast cancer similar or different than female breast cancer? (2004),14997057,10.1023/b:brea.0000010701.08825.2d,Did not report the outcome of interest,male vs female breast incidence SEER; NOT stratified by race/ethnicity
4037,The Impact of Eliminating Socioeconomic and Racial Disparities on Premature Cancer Deaths (2011),21685461,10.3322/caac.20121,Did not report the outcome of interest,ACS eliminate-disparities report; all-cancer premature-deaths/mortality focus; not breast incidence by race
193,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis (2026),40885651,10.1016/j.amjsurg.2025.116577,Ineligible population,NCDB is hospital-based NOT population-based -> invalid incidence denominator
1462,Rising Breast Cancer Incidence and Poor Outcomes in Young Women: A Retrospective Study (2026),41742962,10.1155/tbj/5584726,Ineligible population,"TriNetX EHR research network denominator, not population-based registry (cf NCDB)"
1761,Differences in Breast Cancer Subtypes among Racial/Ethnic Groups (2024),,10.3390/cancers16203462,Ineligible population,Hawaii hospital tumor registries not population-based HTR; subtype-by-race covered by 522/161
1,"Breast cancer statistics, 2019 (2019)",31577379,10.3322/caac.21583,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3,"Lobular breast cancer statistics, 2025 (2025)",41055508,10.1002/cncr.70061,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
136,"Breast cancer statistics, 2015: Convergence of incidence rates between black and white women (2016)",26513636,10.3322/caac.21320,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
148,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities (2016)",26910411,10.3322/caac.21340,Overlapping or duplicate dataset,recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
156,"Annual report to the nation on the status of cancer, part 1: National cancer statistics (2022)",36301149,10.1002/cncr.34479,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
235,"Annual report to the nation on the status of cancer, part I: National cancer statistics (2020)",32162336,10.1002/cncr.32802,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
358,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer (2014)",24343171,10.1002/cncr.28509,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
362,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival (2017)",28376154,10.1093/jnci/djx030,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
384,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations (2006)",16958083,10.1002/cncr.22193,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
411,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state (2015)",25825511,10.1093/jnci/djv048,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
413,"Annual report to the nation on the status of cancer, 1975-2002, featuring  population-based trends in cancer treatment (2005)",16204691,10.1093/jnci/dji289,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
517,"Breast cancer statistics, 2017, racial disparity in mortality by state (2017)",28972651,10.3322/caac.21412,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
543,Cancer statistics for African American/Black People 2022 (2022),35143040,10.3322/caac.21718,Overlapping or duplicate dataset,recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
605,"Annual report to the nation on the status of cancer, 1973-1999, featuring implications of age and aging on U.S. cancer burden (2002)",12173348,10.1002/cncr.10593,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
612,"Breast Cancer Statistics, 2022 (2022)",36190501,10.3322/caac.21754,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
617,"Annual report to the nation on the status of cancer, 1975-2004, featuring cancer  in American Indians and Alaska Natives (2007)",17939129,10.1002/cncr.23044,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
694,"Annual report to the nation on the status of cancer (1973 through 1998),  featuring cancers with recent increasing trends (2001)",11390532,10.1093/jnci/93.11.824,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
788,"Annual Report to the Nation on the Status of Cancer, Featuring Cancer in Men and Women Age 20–49 Years (2019)",31145458,10.1093/jnci/djz106,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
825,"The annual report to the nation on the status of cancer, 1973-1997, with a  special section on colorectal cancer (2000)",10820364,10.1002/(sici)1097-0142(20000515)88:10<2398::aid-cncr26>3.0.co;2-i,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
968,"Annual report to the nation on the status of cancer, 1975-2006, featuring  colorectal cancer trends and impact of interventions (risk factors, screening, and treatment) to reduce future rates (2010)",19998273,10.1002/cncr.24760,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
1196,"Cancer statistics, 2012 (2012)",22237781,10.3322/caac.20138,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
1693,Regional Disparities in Incidence and Outcomes of Invasive Ductal Carcinoma Among Asian and Pacific Islander Women in the United States (2024),,10.2139/ssrn.5051333,Overlapping or duplicate dataset,SSRN preprint duplicate of published 425 (same SEER17 API invasive-ductal by region)
1875,"Cancer statistics, 2024 (2024)",38230766,10.3322/caac.21820,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2021,"Cancer statistics, 2023 (2023)",36633525,10.3322/caac.21763,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2151,"American Cancer Society's report on the status of cancer disparities in the United States, 2021 (2022)",34878180,10.3322/caac.21703,Overlapping or duplicate dataset,recurring statistical report (ACS-Disparities); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2163,Estrogen receptor negative breast cancer incidence rates are similar in Ghanaian and Non-Hispanic Black women in the USA (2022),,10.1101/2022.02.21.22271266,Overlapping or duplicate dataset,ERN incidence NHB/NHW SEER17 2013-2015 + Ghana; companion/overlap to rec 10 (preprint) | RECLASS ->exclude: medRxiv PREPRINT duplicate of rec 10 (Davis Lynn 2025)
2176,"Cancer statistics, 2022 (2022)",35020204,10.3322/caac.21708,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2413,"Cancer statistics, 2020 (2020)",31912902,10.3322/caac.21590,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2473,"Cancer statistics for African Americans, 2019 (2019)",30762872,10.3322/caac.21555,Overlapping or duplicate dataset,recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2537,"Cancer Statistics for Hispanics/Latinos, 2018 (2018)",30285281,10.3322/caac.21494,Overlapping or duplicate dataset,recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2601,"Cancer statistics, 2018 (2018)",29313949,10.3322/caac.21442,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2698,"Cancer Statistics, 2017 (2017)",28055103,10.3322/caac.21387,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2796,"Cancer statistics for Hispanics/Latinos, 2015 (2015)",26375877,10.3322/caac.21314,Overlapping or duplicate dataset,recurring statistical report (ACS-Hispanic); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2843,"Cancer statistics, 2015 (2015)",25559415,10.3322/caac.21254,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2917,"Breast cancer statistics, 2013 (2014)",24114568,10.3322/caac.21203,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
2989,"Cancer statistics for African Americans, 2013 (2013)",23386565,10.3322/caac.21173,Overlapping or duplicate dataset,recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3186,Age-Related Crossover in Breast Cancer Incidence Rates between Black and White Women: Implications for Removing Racial Disparities in Breast Cancer Care (2009),,10.1016/s1043-321x(09)79313-0,Overlapping or duplicate dataset,book-chapter duplicate of 265 (same SEER9 1975-2004 crossover analysis)
3188,"Cancer statistics, 2009 (2009)",19474385,10.3322/caac.20006,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3243,"Cancer statistics, 2008 (2008)",18287387,10.3322/ca.2007.0010,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3345,"Cancer statistics, 2005 (2005)",15661684,10.3322/canjclin.55.1.10,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3373,"Cancer Statistics, 2004 (2004)",14974761,10.3322/canjclin.54.1.8,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3429,"Cancer statistics, 2002 (2002)",11814064,10.3322/canjclin.52.1.23,Overlapping or duplicate dataset,recurring statistical report (ACS-Annual); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3522,"Annual Report to the Nation on the Status of Cancer, part 2: Early assessment of the COVID-19 pandemic’s impact on cancer diagnosis (2024)",,10.1002/cncr.35026,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
3713,Cancer incidence and mortality among Filipinos in the USA and the Philippines: Patterns and trends (2016),,10.1007/978-3-319-41118-7_3,Overlapping or duplicate dataset,"Scopus book chapter (Springer, no PubMed); secondary Filipino synthesis - data covered by primary 80/100/4098"
4035,"Annual report to the nation on the status of cancer, 1975-2001, with a special feature regarding survival (2004)",15221985,10.1002/cncr.20288,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4050,"Annual Report to the Nation on the Status of Cancer, 19752009, Featuring the Burden and Trends in Human Papillomavirus (HPV)Associated Cancers and HPV Vaccination Coverage Levels (2013)",23297039,10.1093/jnci/djs491,Overlapping or duplicate dataset,recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
4057,"Breast cancer statistics, 2011 (2011)",21969133,10.3322/caac.20134,Overlapping or duplicate dataset,recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative
