record_id,author_year,registry,period,std_pop,outcome_dim,minority_group,comparison_vs,minority_rate,min_ci_lo,min_ci_hi,nhw_rate,nhw_ci_lo,nhw_ci_hi,irr,irr_ci_lo,irr_ci_hi,provenance,source_location,notes,verification
324,Gomez2017_CCR,California Cancer Registry,2009-2013,2000 US,disaggregated-AANHPI,Japanese (young),NHW,,,,,,,1.02,0.91,1.14,directly-reported-IRR,Table 2 / text,young Japanese overall incidence ~ NHW; author verify PDF,hand-extracted
324,Gomez2017_CCR,California Cancer Registry,2009-2013,2000 US,disaggregated-AANHPI,Filipino (young),NHW,,,,,,,0.95,0.90,1.01,directly-reported-IRR,Table 2 / text,young Filipino overall ~ NHW; author verify PDF,hand-extracted
324,Gomez2017_CCR,California Cancer Registry,2009-2013,2000 US,subtype-TNBC,Asian-American combined,NHW,,,,,,,0.61,0.58,0.65,directly-reported-IRR,text,TNBC AA-combined lower than NHW,hand-extracted
324,Gomez2017_CCR,California Cancer Registry,2009-2013,2000 US,subtype-HRneg-HER2pos,Asian-American combined,NHW,,,,,,,1.21,1.12,1.30,directly-reported-IRR,text,HR-/HER2+ 20% higher in AA than NHW,hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Asian American (aggregate),NHW,110.5,109.5,111.6,139.5,139.0,140.0,0.792,0.784,0.800,computed-from-rates-with-CI,Table (Overall row),"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Asian Indian/Pakistani,NHW,133.6,130.8,136.5,139.5,139.0,140.0,0.958,0.937,0.979,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Chinese,NHW,106.0,104.0,108.1,139.5,139.0,140.0,0.760,0.745,0.775,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Filipina,NHW,119.5,117.2,122.0,139.5,139.0,140.0,0.857,0.839,0.874,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Japanese,NHW,145.8,140.8,151.0,139.5,139.0,140.0,1.045,1.009,1.083,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Korean,NHW,94.5,91.3,97.8,139.5,139.0,140.0,0.677,0.654,0.701,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Laotian/Kampuchean,NHW,54.1,48.7,59.9,139.5,139.0,140.0,0.388,0.350,0.430,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Vietnamese,NHW,81.8,78.9,84.8,139.5,139.0,140.0,0.586,0.566,0.608,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Native Hawaiian/PI (aggregate),NHW,169.1,163.0,175.5,139.5,139.0,140.0,1.212,1.168,1.258,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Native Hawaiian,NHW,177.2,169.2,185.5,139.5,139.0,140.0,1.270,1.213,1.330,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
234,Gomez2026_SEER21,SEER-21,2018-2022,2000 US,disaggregated-AANHPI,Guamanian/Chamorro/Samoan,NHW,100.9,89.2,113.7,139.5,139.0,140.0,0.723,0.641,0.817,computed-from-rates-with-CI,Table,"in-paper NHW from eTable3 (139.5, SEER-21 2018-2022, 2000 US std); rate from main Table; verified vs PDF",hand-extracted
4098,McCracken2007_CCR,California Cancer Registry,2000-2002,2000 US,disaggregated-AANHPI,Chinese,NHW,75.1,,,152.9,,,0.491,,,computed-from-rates,Table 3 (female breast incidence),no CI in source; case counts needed for SE; ACS API report,hand-extracted
4098,McCracken2007_CCR,California Cancer Registry,2000-2002,2000 US,disaggregated-AANHPI,Filipina,NHW,102.4,,,152.9,,,0.670,,,computed-from-rates,Table 3 (female breast incidence),no CI in source; case counts needed for SE; ACS API report,hand-extracted
4098,McCracken2007_CCR,California Cancer Registry,2000-2002,2000 US,disaggregated-AANHPI,Vietnamese,NHW,55.5,,,152.9,,,0.363,,,computed-from-rates,Table 3 (female breast incidence),no CI in source; case counts needed for SE; ACS API report,hand-extracted
4098,McCracken2007_CCR,California Cancer Registry,2000-2002,2000 US,disaggregated-AANHPI,Korean,NHW,50.7,,,152.9,,,0.332,,,computed-from-rates,Table 3 (female breast incidence),no CI in source; case counts needed for SE; ACS API report,hand-extracted
4098,McCracken2007_CCR,California Cancer Registry,2000-2002,2000 US,disaggregated-AANHPI,Japanese,NHW,102.8,,,152.9,,,0.672,,,computed-from-rates,Table 3 (female breast incidence),no CI in source; case counts needed for SE; ACS API report,hand-extracted
3398,Gomez2003_SEERplusCCR,SEER + California CR,1988-1992,1970 world,disaggregated-AANHPI,Korean,NHW,25.1,22.1,28.4,98.7,98.1,99.3,0.254,0.224,0.288,computed-from-rates-with-CI,Table 1 (female breast),std=1970 world (not 2000 US) - flag Feedback6; paper reports reciprocal RR 3.9,hand-extracted
4040,Miller2008_NAACCR-API,NAACCR/SEER API (state+SEER registries),1998-2002,2000 US,disaggregated-AANHPI,Native Hawaiian,NHW,175.8,163.0,189.4,145.2,144.5,145.8,1.211,1.123,1.305,computed-from-rates-with-CI,"Table (top-5, women)",NHW referent breast=145.2; other subgroups in PDF tables (top-5 only) - extract from PDF if 4040 becomes representative,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,Japanese,NHW,104.7,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,Filipina,NHW,88.6,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,Chinese,NHW,83.6,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,South Asian,NHW,78.5,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,Vietnamese,NHW,57.0,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
463,Keegan2007_GBACR,"Greater Bay Area (Northern CA, SEER)",1990-2002,2000 US,disaggregated-AANHPI,Korean,NHW,44.5,,,,,,,,,directly-reported-rate,Table/text (overall invasive),no CI in text; NHW pairing needed (Bay Area/SEER 1990-2002); OVERLAP with CCR cluster (rep=4098/234) - sensitivity only,hand-extracted
500,Gopalani2020_31764279,IHS-linked,1999-2015,2000 US,aggregate-vs-NHW,AIAN,NHW,72.7,,,130.4,,,0.560,0.550,0.570,computed-from-rates,"IHS-linked, misclassification-corrected","IHS-PRCDA national AI/AN breast AAIR 72.7 vs NHW (Gopalani 2020); IRR 0.56 is PERIOD-specific (1999-2015). AI/AN rising +1.5%/yr -> ~0.85 by 2019-2023 (SEER-Explorer PRCDA anchor). Report as trend, not single value",hand-extracted
182,Cronin2012_VitalSigns_23151952,USCS(NPCR+SEER),2004-2008,2000 US,aggregate-vs-NHW,Black,White(not NH-strat),116.9,,,122.1,,,0.957,0.944,0.971,computed-from-rates-Poisson-SE,Vital Signs text (annual),comparator=White incl Hispanic (NOT NHW); USCS-family OVERLAP of rec169; sensitivity/trend only,hand-extracted
346,Richardson2016_27736827,USCS(NPCR+SEER),2011,2000 US,aggregate-vs-NHW,Black,White(not NH-strat),121.5,,,123.6,,,0.983,0.977,0.989,computed-from-rates-with-CI,MMWR text,Rate 95% CI in MMWR table; ratio CI computed; White incl Hispanic; USCS-family OVERLAP of rec169; sensitivity only,hand-extracted
265,Anderson2008_SEER_19066264,SEER,2008,US SEER age-specific rates (within-study Black/White ratio; std pop cancels),age-lt40,Black,White,15.5,,,13.1,,,1.183,1.142,1.226,computed-from-rates-with-CI,JNCI text (crossover),"age-crossover: Black>White <40, White>Black >=40; ratio CI computed from age-band rate CIs (Table); std pop verify",hand-extracted
