record_id,year,series,title,doi,doi_url,pmid,pubmed_url
0,2024,ACS-BreastStats,Breast cancer statistics 2024,10.3322/caac.21863,https://doi.org/10.3322/caac.21863,39352042,https://pubmed.ncbi.nlm.nih.gov/39352042/
1,2019,ACS-BreastStats,"Breast cancer statistics, 2019",10.3322/caac.21583,https://doi.org/10.3322/caac.21583,31577379,https://pubmed.ncbi.nlm.nih.gov/31577379/
2,2014,PRIMARY,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status,10.1093/jnci/dju055,https://doi.org/10.1093/jnci/dju055,24777111,https://pubmed.ncbi.nlm.nih.gov/24777111/
3,2025,ACS-BreastStats,"Lobular breast cancer statistics, 2025",10.1002/cncr.70061,https://doi.org/10.1002/cncr.70061,41055508,https://pubmed.ncbi.nlm.nih.gov/41055508/
5,2026,PRIMARY,"Stage IV Breast Cancer Incidence and Survival, 2010-202",10.1001/jamanetworkopen.2026.12042,https://doi.org/10.1001/jamanetworkopen.2026.12042,42118535,https://pubmed.ncbi.nlm.nih.gov/42118535/
10,2025,PRIMARY,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015,10.1001/jamanetworkopen.2025.37160,https://doi.org/10.1001/jamanetworkopen.2025.37160,41082230,https://pubmed.ncbi.nlm.nih.gov/41082230/
11,2021,ACS-Hispanic,"Cancer statistics for the US Hispanic/Latino population, 2021",10.3322/caac.21695,https://doi.org/10.3322/caac.21695,34545941,https://pubmed.ncbi.nlm.nih.gov/34545941/
12,2025,PRIMARY,Disparities and trends of the incidence and mortality of female-specific cancers in the United States,10.1371/journal.pone.0334128,https://doi.org/10.1371/journal.pone.0334128,41086189,https://pubmed.ncbi.nlm.nih.gov/41086189/
14,2025,PRIMARY,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage",10.1001/jamanetworkopen.2025.16947,https://doi.org/10.1001/jamanetworkopen.2025.16947,40553473,https://pubmed.ncbi.nlm.nih.gov/40553473/
17,2005,PRIMARY,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project,10.1007/s10549-005-2112-y,https://doi.org/10.1007/s10549-005-2112-y,15986118,https://pubmed.ncbi.nlm.nih.gov/15986118/
18,2014,USCS,"Invasive cancer incidence - United States, 2010.",,,24670926,https://pubmed.ncbi.nlm.nih.gov/24670926/
28,2019,PRIMARY,Invasive breast cancer among Alaska Native women in Alaska,10.1080/22423982.2019.1633190,https://doi.org/10.1080/22423982.2019.1633190,31234738,https://pubmed.ncbi.nlm.nih.gov/31234738/
31,2018,PRIMARY,Black-white breast cancer incidence trends: Effects of ethnicity,10.1093/jnci/djy112,https://doi.org/10.1093/jnci/djy112,29982593,https://pubmed.ncbi.nlm.nih.gov/29982593/
46,2025,PRIMARY,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age,10.1001/jamanetworkopen.2024.56142,https://doi.org/10.1001/jamanetworkopen.2024.56142,39853979,https://pubmed.ncbi.nlm.nih.gov/39853979/
49,2005,PRIMARY,"Cancer incidence in the Hmong in California, 1988-2000",10.1002/cncr.21525,https://doi.org/10.1002/cncr.21525,16247793,https://pubmed.ncbi.nlm.nih.gov/16247793/
51,2022,PRIMARY,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people,10.1080/22423982.2021.2013403,https://doi.org/10.1080/22423982.2021.2013403,34918619,https://pubmed.ncbi.nlm.nih.gov/34918619/
54,2021,PRIMARY,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study",10.1002/ijc.33331,https://doi.org/10.1002/ijc.33331,33099777,https://pubmed.ncbi.nlm.nih.gov/33099777/
66,2021,PRIMARY,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women,10.1002/cncr.33846,https://doi.org/10.1002/cncr.33846,34427920,https://pubmed.ncbi.nlm.nih.gov/34427920/
76,2003,PRIMARY,Trends in breast cancer by race and ethnicity,10.3322/canjclin.53.6.342,https://doi.org/10.3322/canjclin.53.6.342,15224974,https://pubmed.ncbi.nlm.nih.gov/15224974/
79,2007,PRIMARY,Breast cancer among hispanic and non-hispanic white women in Arizona,,,18065856,https://pubmed.ncbi.nlm.nih.gov/18065856/
80,2024,PRIMARY,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study",10.1158/1055-9965.epi-24-0647,https://doi.org/10.1158/1055-9965.epi-24-0647,39132985,https://pubmed.ncbi.nlm.nih.gov/39132985/
86,2002,PRIMARY,Breast cancer racial differences before age 40--implications for screening.,,,11918384,https://pubmed.ncbi.nlm.nih.gov/11918384/
93,2019,PRIMARY,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states,10.1007/s10552-019-01168-0,https://doi.org/10.1007/s10552-019-01168-0,30972520,https://pubmed.ncbi.nlm.nih.gov/30972520/
100,2012,PRIMARY,Invasive breast cancer incidence trends by detailed race/ethnicity and age,10.1002/ijc.26004,https://doi.org/10.1002/ijc.26004,21351091,https://pubmed.ncbi.nlm.nih.gov/21351091/
101,2020,PRIMARY,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam,,,32596677,https://pubmed.ncbi.nlm.nih.gov/32596677/
103,2012,PRIMARY,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover,10.1093/jnci/djs264,https://doi.org/10.1093/jnci/djs264,22773826,https://pubmed.ncbi.nlm.nih.gov/22773826/
107,2021,PRIMARY,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping,10.5888/pcd18.200468,https://doi.org/10.5888/pcd18.200468,33705303,https://pubmed.ncbi.nlm.nih.gov/33705303/
119,2014,PRIMARY,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer,10.1002/cncr.28589,https://doi.org/10.1002/cncr.28589,24676851,https://pubmed.ncbi.nlm.nih.gov/24676851/
126,2020,PRIMARY,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity in the US from 2010 to 2016,10.1001/jamanetworkopen.2020.13226,https://doi.org/10.1001/jamanetworkopen.2020.13226,32804214,https://pubmed.ncbi.nlm.nih.gov/32804214/
134,2008,PRIMARY,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-2004",10.1002/cncr.23725,https://doi.org/10.1002/cncr.23725,18720389,https://pubmed.ncbi.nlm.nih.gov/18720389/
136,2016,ACS-BreastStats,"Breast cancer statistics, 2015: Convergence of incidence rates between black and white women",10.3322/caac.21320,https://doi.org/10.3322/caac.21320,26513636,https://pubmed.ncbi.nlm.nih.gov/26513636/
141,2022,PRIMARY,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United States: Trends by Race and Region,10.1093/jnci/djab186,https://doi.org/10.1093/jnci/djab186,34508608,https://pubmed.ncbi.nlm.nih.gov/34508608/
142,2021,PRIMARY,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women?,10.1016/j.jnma.2020.07.016,https://doi.org/10.1016/j.jnma.2020.07.016,32778443,https://pubmed.ncbi.nlm.nih.gov/32778443/
144,2002,PRIMARY,Rapidly rising breast cancer incidence rates among Asian-American women,10.1002/ijc.10415,https://doi.org/10.1002/ijc.10415,12115511,https://pubmed.ncbi.nlm.nih.gov/12115511/
145,2011,PRIMARY,Persistence in breast cancer disparities between African Americans and whites in Wisconsin,,,21473509,https://pubmed.ncbi.nlm.nih.gov/21473509/
146,2024,PRIMARY,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and Hormone Receptor Status",10.1001/jamanetworkopen.2023.53331,https://doi.org/10.1001/jamanetworkopen.2023.53331,38277147,https://pubmed.ncbi.nlm.nih.gov/38277147/
