record_id,year,series,registry_family_guess,pmid,doi,title,ft_decision,ft_reason,registry_family_confirmed,diagnosis_years,minority_group,minority_rate,minority_ci,nhw_rate,nhw_ci,irr,irr_ci,source_location,notes
0,2024,ACS-BreastStats,Multi-registry aggregate report (ACS-BreastStats),39352042,10.3322/caac.21863,Breast cancer statistics 2024,,,,,,,,,,,,,
1,2019,ACS-BreastStats,Multi-registry aggregate report (ACS-BreastStats),31577379,10.3322/caac.21583,"Breast cancer statistics, 2019",,,,,,,,,,,,,
2,2014,PRIMARY,SEER,24777111,10.1093/jnci/dju055,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status,,,,,,,,,,,,,
3,2025,ACS-BreastStats,Multi-registry aggregate report (ACS-BreastStats),41055508,10.1002/cncr.70061,"Lobular breast cancer statistics, 2025",,,,,,,,,,,,,
5,2026,PRIMARY,SEER,42118535,10.1001/jamanetworkopen.2026.12042,"Stage IV Breast Cancer Incidence and Survival, 2010-202",,,,,,,,,,,,,
10,2025,PRIMARY,SEER,41082230,10.1001/jamanetworkopen.2025.37160,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015,,,,,,,,,,,,,
11,2021,ACS-Hispanic,Multi-registry aggregate report (ACS-Hispanic),34545941,10.3322/caac.21695,"Cancer statistics for the US Hispanic/Latino population, 2021",,,,,,,,,,,,,
12,2025,PRIMARY,Alaska Native Registry,41086189,10.1371/journal.pone.0334128,Disparities and trends of the incidence and mortality of female-specific cancers in the United States,,,,,,,,,,,,,
14,2025,PRIMARY,USCS (NPCR+SEER),40553473,10.1001/jamanetworkopen.2025.16947,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage",,,,,,,,,,,,,
17,2005,PRIMARY,NAACCR,15986118,10.1007/s10549-005-2112-y,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project,,,,,,,,,,,,,
18,2014,USCS,Multi-registry aggregate report (USCS),24670926,,"Invasive cancer incidence - United States, 2010.",,,,,,,,,,,,,
28,2019,PRIMARY,Alaska Native Registry,31234738,10.1080/22423982.2019.1633190,Invasive breast cancer among Alaska Native women in Alaska,,,,,,,,,,,,,
31,2018,PRIMARY,SEER,29982593,10.1093/jnci/djy112,Black-white breast cancer incidence trends: Effects of ethnicity,,,,,,,,,,,,,
46,2025,PRIMARY,Alaska Native Registry,39853979,10.1001/jamanetworkopen.2024.56142,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age,,,,,,,,,,,,,
49,2005,PRIMARY,California Cancer Registry,16247793,10.1002/cncr.21525,"Cancer incidence in the Hmong in California, 1988-2000",,,,,,,,,,,,,
51,2022,PRIMARY,Alaska Native Registry,34918619,10.1080/22423982.2021.2013403,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people,,,,,,,,,,,,,
54,2021,PRIMARY,State/regional: new jersey,33099777,10.1002/ijc.33331,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study",,,,,,,,,,,,,
66,2021,PRIMARY,SEER,34427920,10.1002/cncr.33846,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women,,,,,,,,,,,,,
76,2003,PRIMARY,SEER,15224974,10.3322/canjclin.53.6.342,Trends in breast cancer by race and ethnicity,,,,,,,,,,,,,
79,2007,PRIMARY,State/regional: arizona,18065856,,Breast cancer among hispanic and non-hispanic white women in Arizona,,,,,,,,,,,,,
80,2024,PRIMARY,Multiethnic Cohort,39132985,10.1158/1055-9965.epi-24-0647,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study",,,,,,,,,,,,,
86,2002,PRIMARY,SEER,11918384,,Breast cancer racial differences before age 40--implications for screening.,,,,,,,,,,,,,
93,2019,PRIMARY,UNSPECIFIED (confirm at full text),30972520,10.1007/s10552-019-01168-0,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states,,,,,,,,,,,,,
100,2012,PRIMARY,UNSPECIFIED (confirm at full text),21351091,10.1002/ijc.26004,Invasive breast cancer incidence trends by detailed race/ethnicity and age,,,,,,,,,,,,,
101,2020,PRIMARY,State/regional: guam,32596677,,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam,,,,,,,,,,,,,
103,2012,PRIMARY,UNSPECIFIED (confirm at full text),22773826,10.1093/jnci/djs264,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover,,,,,,,,,,,,,
107,2021,PRIMARY,Alaska Native Registry,33705303,10.5888/pcd18.200468,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping,,,,,,,,,,,,,
119,2014,PRIMARY,State/regional: michigan,24676851,10.1002/cncr.28589,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer,,,,,,,,,,,,,
