record_id,year,pmid,doi,source,chars,title
0,2024,39352042,10.3322/caac.21863,manual-pdf,85754,Breast cancer statistics 2024
1,2019,31577379,10.3322/caac.21583,manual-pdf,68595,"Breast cancer statistics, 2019"
2,2014,24777111,10.1093/jnci/dju055,manual-pdf,40117,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status
3,2025,41055508,10.1002/cncr.70061,cached,20600,"Lobular breast cancer statistics, 2025"
5,2026,42118535,10.1001/jamanetworkopen.2026.12042,cached,30825,"Stage IV Breast Cancer Incidence and Survival, 2010-202"
10,2025,41082230,10.1001/jamanetworkopen.2025.37160,cached,22354,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015
11,2021,34545941,10.3322/caac.21695,manual-pdf,109487,"Cancer statistics for the US Hispanic/Latino population, 2021"
12,2025,41086189,10.1371/journal.pone.0334128,cached,40210,Disparities and trends of the incidence and mortality of female-specific cancers in the United States
14,2025,40553473,10.1001/jamanetworkopen.2025.16947,cached,27400,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage"
17,2005,15986118,10.1007/s10549-005-2112-y,manual-pdf,45371,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project
18,2014,24670926,,cached,12065,"Invasive cancer incidence - United States, 2010."
28,2019,31234738,10.1080/22423982.2019.1633190,cached,33052,Invasive breast cancer among Alaska Native women in Alaska
31,2018,29982593,10.1093/jnci/djy112,manual-pdf,14694,Black-white breast cancer incidence trends: Effects of ethnicity
46,2025,39853979,10.1001/jamanetworkopen.2024.56142,cached,22730,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age
49,2005,16247793,10.1002/cncr.21525,manual-pdf,26002,"Cancer incidence in the Hmong in California, 1988-2000"
51,2022,34918619,10.1080/22423982.2021.2013403,cached,24142,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people
54,2021,33099777,10.1002/ijc.33331,cached,25673,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study"
66,2021,34427920,10.1002/cncr.33846,manual-pdf,45159,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women
76,2003,15224974,10.3322/canjclin.53.6.342,manual-pdf,42948,Trends in breast cancer by race and ethnicity
79,2007,18065856,,manual-pdf,42398,Breast cancer among hispanic and non-hispanic white women in Arizona
80,2024,39132985,10.1158/1055-9965.epi-24-0647,cached,18259,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Coh"
86,2002,11918384,,manual-pdf-lowtext,840,Breast cancer racial differences before age 40--implications for screening.
93,2019,30972520,10.1007/s10552-019-01168-0,manual-pdf,52114,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states
100,2012,21351091,10.1002/ijc.26004,cached,23580,Invasive breast cancer incidence trends by detailed race/ethnicity and age
101,2020,32596677,,manual-pdf,22292,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam
103,2012,22773826,10.1093/jnci/djs264,manual-pdf,39430,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover
107,2021,33705303,10.5888/pcd18.200468,cached,28551,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping
119,2014,24676851,10.1002/cncr.28589,cached,19240,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer
126,2020,32804214,10.1001/jamanetworkopen.2020.13226,cached,20930,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity in the US from 2010 to 2016
134,2008,18720389,10.1002/cncr.23725,manual-pdf,57602,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-2004"
136,2016,26513636,10.3322/caac.21320,manual-pdf,60267,"Breast cancer statistics, 2015: Convergence of incidence rates between black and white women"
141,2022,34508608,10.1093/jnci/djab186,cached,27286,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United States: Trends by Race and Region
142,2021,32778443,10.1016/j.jnma.2020.07.016,cached,6223,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women?
144,2002,12115511,10.1002/ijc.10415,manual-pdf,25508,Rapidly rising breast cancer incidence rates among Asian-American women
145,2011,21473509,,cached,14382,Persistence in breast cancer disparities between African Americans and whites in Wisconsin
146,2024,38277147,10.1001/jamanetworkopen.2023.53331,cached,30029,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and Hormone Receptor Status"
148,2016,26910411,10.3322/caac.21340,manual-pdf,91800,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities"
151,2013,23878350,10.1093/jnci/djt157,manual-pdf,74067,"Cancer incidence trends among asian american populations in the united states, 1990-2008"
155,2023,36862439,10.1001/jamaoncol.2022.7835,unpaywall-oa,28047,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women
156,2022,36301149,10.1002/cncr.34479,cached,100338,"Annual report to the nation on the status of cancer, part 1: National cancer statistics"
157,2005,16258086,10.1200/jco.2004.01.0421,unavailable,0,Breast cancer trends among black and white women in the United States
158,2022,34731501,10.1002/cncr.34008,cached,23961,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in t"
161,2019,30503975,10.1016/j.canep.2018.11.006,cached,17911,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population
165,2001,11562110,10.1023/a:1011240019516,manual-pdf-lowtext,945,Socioeconomic status and breast cancer incidence in California for different race/ethnic groups
169,2022,35025856,10.15585/mmwr.mm7102a2,cached,13146,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018"
178,2019,30426307,10.1007/s10549-018-5042-1,manual-pdf,16738,Trends in stage at diagnosis for young breast cancer patients in the United States
182,2012,23151952,,manual-pdf,29760,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009"
188,2006,16737949,,manual-pdf,58342,Trends in breast cancer by race and ethnicity: Update 2006
190,2020,34128917,,manual-pdf,18061,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015"
193,2026,40885651,10.1016/j.amjsurg.2025.116577,manual-pdf,39561,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis
199,2008,18507200,10.1016/s0027-9684(15)31294-3,manual-pdf,59728,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology"
200,2012,23166647,10.1371/journal.pone.0049359,cached,30001,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses
203,2008,19001605,10.1093/jnci/djn344,manual-pdf,30354,Recent trends in breast cancer among younger women in the United States
