record_id,year,series,pop_focus,data_source,doi,pmid,title
0,2024,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21863,39352042,Breast cancer statistics 2024
1,2019,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21583,31577379,"Breast cancer statistics, 2019"
2,2014,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:Hispanic,SEER;state/regional:pacific island,10.1093/jnci/dju055,24777111,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status
3,2025,ACS-BreastStats,RECURRING-REPORT,multi-registry-aggregate,10.1002/cncr.70061,41055508,"Lobular breast cancer statistics, 2025"
5,2026,PRIMARY,subtype:TNBC,SEER,10.1001/jamanetworkopen.2026.12042,42118535,"Stage IV Breast Cancer Incidence and Survival, 2010-202"
10,2025,PRIMARY,subtype:HR/HER2;male-BC;grp:Hispanic;grp:AfricanBorn,SEER,10.1001/jamanetworkopen.2025.37160,41082230,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015
11,2021,ACS-Hispanic,RECURRING-REPORT,multi-registry-aggregate,10.3322/caac.21695,34545941,"Cancer statistics for the US Hispanic/Latino population, 2021"
12,2025,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:pacific island,10.1371/journal.pone.0334128,41086189,Disparities and trends of the incidence and mortality of female-specific cancers in the United States
14,2025,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,AK-Native;state/regional:pacific island,10.1001/jamanetworkopen.2025.16947,40553473,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage"
17,2005,PRIMARY,male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,NAACCR;state/regional:pacific island,10.1007/s10549-005-2112-y,15986118,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project
18,2014,USCS,RECURRING-REPORT,multi-registry-aggregate,,24670926,"Invasive cancer incidence - United States, 2010."
28,2019,PRIMARY,subtype:HR/HER2;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native,10.1080/22423982.2019.1633190,31234738,Invasive breast cancer among Alaska Native women in Alaska
31,2018,PRIMARY,male-BC;grp:Hispanic,SEER,10.1093/jnci/djy112,29982593,Black-white breast cancer incidence trends: Effects of ethnicity
46,2025,PRIMARY,subtype:TNBC;male-BC;grp:AANHPI;grp:AIAN;grp:Hispanic,SEER;AK-Native;state/regional:pacific island,10.1001/jamanetworkopen.2024.56142,39853979,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age
49,2005,PRIMARY,grp:AANHPI;grp:AIAN;grp:Hispanic,CA-registry;state/regional:wisconsin;state/regional:minnesota;state/regional:pacific island,10.1002/cncr.21525,16247793,"Cancer incidence in the Hmong in California, 1988-2000"
51,2022,PRIMARY,grp:AANHPI;grp:AIAN,SEER;AK-Native,10.1080/22423982.2021.2013403,34918619,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people
