rec_id,PMID,Title,Category / why you check it
155,36862439,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women (2023),"A. INCLUDED-extracted, no main PDF"
286,33074325,Variation in breast cancer subtype incidence and distribution by race/ethnicity in the United States from 2010 to 2015 (2020),"A. INCLUDED-extracted, no main PDF"
209,36530732,Racial and regional disparities of triple negative breast cancer incidence rates in the United States: An analysis of 2011-2019 NPCR and SEER incidence data (2022),"B. INCLUDED-eligible, no PDF"
419,21656753,Higher population-based incidence rates of triple-negative breast cancer among young African-American women (2011),"B. INCLUDED-eligible, no PDF"
2137,35119703,"Cancer disparities among non-Hispanic urban American Indian and Alaska Native populations in the United States, 1999-2017 (2022)","B. INCLUDED-eligible, no PDF"
4027,26661680,"Cancer incidence among Asian American populations in the United States, 2009-2011 (2016)","B. INCLUDED-eligible, no PDF"
14,40553473,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage (2025)","C. INCLUDED-narrative, no PDF"
18,24670926,"Invasive cancer incidence - United States, 2010. (2014)","C. INCLUDED-narrative, no PDF"
46,39853979,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age (2025),"C. INCLUDED-narrative, no PDF"
80,39132985,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study (2024)","C. INCLUDED-narrative, no PDF"
119,24676851,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer (2014),"C. INCLUDED-narrative, no PDF"
142,32778443,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women? (2021),"C. INCLUDED-narrative, no PDF"
145,21473509,Persistence in breast cancer disparities between African Americans and whites in Wisconsin (2011),"C. INCLUDED-narrative, no PDF"
158,34731501,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017 (2022)","C. INCLUDED-narrative, no PDF"
210,34861613,"Breast cancer incidence trends in Asian women aged 20 or older as compared to other ethnic women in the United States from 2000 to 2018 by time period, age and tumor stage (2022)","C. INCLUDED-narrative, no PDF"
226,35113296,"Home mortgage discrimination and incidence of triple-negative and Luminal A breast cancer among non-Hispanic Black and non-Hispanic White females in California, 2006–2015 (2022)","C. INCLUDED-narrative, no PDF"
246,20567897,Does socioeconomic disparity in cancer incidence vary across racial/ethnic groups? (2010),"C. INCLUDED-narrative, no PDF"
252,32212335,Forty-year trends in menopausal hormone therapy use and breast cancer incidence  among postmenopausal black and white women (2020),"C. INCLUDED-narrative, no PDF"
259,21850396,What can we learn from the age- and race/ethnicity- specific rates of inflammatory breast carcinoma? (2011),"C. INCLUDED-narrative, no PDF"
