rec_id,PMID/DOI,Title,Decision,Classification,Reason / rationale,PDF
0,39352042,Breast cancer statistics 2024 (2024),Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): ACS Breast Cancer Statistics 2024 (most recent general breast-by-race national report),Y
1,31577379,"Breast cancer statistics, 2019 (2019)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
2,24777111,US incidence of breast cancer subtypes defined by joint hormone receptor and HER2 status (2014),Included,quant-extracted,first national HR/HER2 subtype incidence by race 2010,Y
3,41055508,"Lobular breast cancer statistics, 2025 (2025)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
5,42118535,"Stage IV Breast Cancer Incidence and Survival, 2010-202 (2026)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — stage IV-specific incidence not overall invasive by race vs NHW,N
10,41082230,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2015 (2025),Included,quant-extracted,ER-overall age-standardized rates NHB/NHW per 100k; Ghana=non-US comparator,Y
11,34545941,"Cancer statistics for the US Hispanic/Latino population, 2021 (2021)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): Cancer Statistics for Hispanics/Latinos 2021 (most recent),Y
12,41086189,Disparities and trends of the incidence and mortality of female-specific cancers in the United States (2025),Included,quant-extracted,breast among female-specific cancers SEER 2017-2021 rate ratios by race,Y
14,40553473,"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, and Stage (2025)",Included,narrative,USCS 65+ only; rates include in-situ+invasive combined -> restricted estimand,Y
17,15986118,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cancer Project (2005),Included,narrative,NAACCR Breast Cancer Project age-specific rates + RR | RECLASS q->n: Table 3 is age x STAGE specific; no all-stages overall IRR without stage-sum+age-std derivation. Confirms Black-White crossover.,Y
18,24670926,"Invasive cancer incidence - United States, 2010. (2014)",Included,narrative,series representative; secondary synthesis of SEER/NPCR/NAACCR - narrative/context (not pooled to avoid double-counting): US Cancer Statistics - invasive cancer incidence (USCS national),Y
28,31234738,Invasive breast cancer among Alaska Native women in Alaska (2019),Included,quant-extracted,AN vs USW age-adjusted female breast incidence 1969-2014,Y
31,29982593,Black-white breast cancer incidence trends: Effects of ethnicity (2018),Included,narrative,convergence NHB/NHW SEER13 1992-2014 | RECLASS q->n: rates in Figure 1 only + APC; no numeric IRR/rate table,Y
46,39853979,Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race and Ethnicity and Age (2025),Included,narrative,subtype-specific incidence by race SEER22 2010-2019 | RECLASS q->n: APC(trend) + subtype proportions(%); no poolable race-vs-NHW IRR,Y
49,16247793,"Cancer incidence in the Hmong in California, 1988-2000 (2005)",Included,quant-extracted,Hmong breast-specific age-adjusted rate vs NHW - verify exact breast row in table,Y
51,34918619,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  Alaska Native people (2022),Included,quant-extracted,ANTR 1969-2018; OVERLAPS 28/415/428 -> keep representative at dedup,Y
54,33099777,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidemiology and end results-based study (2021)",Included,narrative,AIPA lower than NHW; age-specific incidence rates modeled | RECLASS q->n: age-pattern/breakpoint modeling; AIPA<NHW but no overall age-adj IRR,Y
66,34427920,Age distributions of breast cancer diagnosis and mortality by race and ethnicity in US women (2021),Included,quant-extracted,SEER21 2014-2017 invasive incidence by age and race,Y
76,15224974,Trends in breast cancer by race and ethnicity (2003),Included,narrative,"reclassified from quant: ACS trends review (Smigal 2006); recycled SEER/NAACCR rates, overlaps national family, no CI",Y
79,18065856,Breast cancer among hispanic and non-hispanic white women in Arizona (2007),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — tumor-characteristic odds (stage/size) NHW-ref; no age-adjusted incidence rate per 100k reported,Y
80,39132985,"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Generational Status in the Multiethnic Cohort Study (2024)",Included,narrative,MEC Filipino generational; comparator=generation not NHW -> verify/narrative,N
86,11918384,Breast cancer racial differences before age 40--implications for screening. (2002),Included,narrative,| quant->narrative: young-age (<40) racial-difference / screening-implications; no age-adjusted vs-NHW incidence IRR,Y
93,30972520,Disparities in breast cancer subtypes among women in the lower Mississippi Delta Region states (2019),Included,narrative,"| quant->narrative: Mississippi-Delta-region vs non-Delta rate ratios WITHIN each race (regional, not race-vs-NHW)",Y
100,21351091,Invasive breast cancer incidence trends by detailed race/ethnicity and age (2012),Included,quant-extracted,LA County 1976-2007 detailed race incl Filipina vs NH white,Y
101,32596677,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros in Guam (2020),Included,narrative,cumulative incidence metric not age-adjusted rate/100k -> narrative,Y
103,22773826,Age-specific incidence of breast cancer subtypes: Understanding the black-white crossover (2012),Included,narrative,"reclassified from quant: age-specific crossover rates only (Gomez 2012); no age-adjusted vs-NHW IRR, no full age table to standardize",Y
107,33705303,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico Through Bayesian Disease Mapping (2021),Included,quant-extracted,NM AI/AN vs NHW breast incidence RR 2005-2014,Y
119,24676851,Disparities of cancer incidence in Michigan's American Indians: Spotlight on breast cancer (2014),Included,narrative,| quant->narrative: Michigan American Indian; regional AIAN overlap (AIAN represented by IHS-PRCDA/Plains/Navajo/Alaska reps),Y
126,32804214,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity in the US from 2010 to 2016 (2020),Included,narrative,subtype incidence by race/age 2010-2016; overlaps SEER subtype (2/46) | RECLASS q->n: molecular subtype TREND (APC) by race; no cross-sectional IRR,Y
134,18720389,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-2004 (2008)",Included,narrative,| quant->narrative: AI/AN regional incidence; overlaps represented AIAN cells,Y
136,26513636,"Breast cancer statistics, 2015: Convergence of incidence rates between black and white women (2016)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-BreastStats); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
141,34508608,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United States: Trends by Race and Region (2022),Included,narrative,ER-negative incidence by race + region 1992-2016 | RECLASS q->n: ER-negative trend (APC) analysis; no IRR/cross-sectional rate by race,Y
142,32778443,Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispanic Black Women? (2021),Included,narrative,TNBC NHB regional comparison; comparator=region not NHW -> narrative,Y
144,12115511,Rapidly rising breast cancer incidence rates among Asian-American women (2002),Included,narrative,| quant->narrative: Deapen LA-County Asian annual-RATE-TREND table (1970 std); disaggregated Asian poolable cells covered by rec234/49/3267,Y
145,21473509,Persistence in breast cancer disparities between African Americans and whites in Wisconsin (2011),Included,narrative,| quant->narrative: Wisconsin Black-White disparity persistence (trend); aggregate Black already represented,Y
146,38277147,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and Hormone Receptor Status (2024)",Included,quant-extracted,young women 20-49 IRR by race + HR SEER17 2000-2019,Y
148,26910411,"Cancer statistics for African Americans, 2016: Progress and opportunities in reducing racial disparities (2016)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ACS-AABlack); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
151,23878350,"Cancer incidence trends among asian american populations in the united states, 1990-2008 (2013)",Included,narrative,| quant->narrative: JNCI cancer-incidence-TRENDS Asian 1990-2008 (APC/joinpoint); disaggregated Asian covered by rec234,Y
155,36862439,State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative Breast Cancer among US Women (2023),Included,quant-extracted,TNBC state variation IRR vs White USCS 2015-2019,N
156,36301149,"Annual report to the nation on the status of cancer, part 1: National cancer statistics (2022)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
157,16258086,Breast cancer trends among black and white women in the United States (2005),Excluded,Full text unavailable,"Full text unavailable — could not obtain: ASCO/JCO paywalled + bot-blocked; Black-White SEER trends, redundant with other B-W registry studies",N
158,34731501,"Trends in breast cancer incidence rates by race/ethnicity: Patterns by stage, socioeconomic position, and geography in the United States, 1999-2017 (2022)",Included,narrative,"| quant->narrative: breast-incidence-TRENDS by race 1999-2017 (temporal trend, not cross-sectional poolable IRR)",Y
161,30503975,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethnic U.S. Population (2019),Included,quant-extracted,Hawaii 5 groups age-adjusted breast incidence + subtype,Y
165,11562110,Socioeconomic status and breast cancer incidence in California for different race/ethnic groups (2001),Included,narrative,| quant->narrative: socioeconomic-status x breast incidence (SES-gradient focus),Y
169,35025856,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged ≥20 Years - United States, 1999-2018 (2022)",Included,quant-extracted,USCS MMWR incidence by race/age 1999-2018; overlaps USCS (14/142) -> dedup,Y
178,30426307,Trends in stage at diagnosis for young breast cancer patients in the United States (2019),Included,narrative,young-onset stage-at-diagnosis focus; overall invasive-by-race not primary -> narrative,Y
182,23151952,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-2009 (2012)",Included,quant-extracted,Vital Signs USCS black/white incidence 2005-2009 (severity focus),Y
188,16737949,Trends in breast cancer by race and ethnicity: Update 2006 (2006),Included,narrative,| quant->narrative: secondary recomputation from SEER Cancer Statistics Review (review/secondary source),Y
190,34128917,"Cancer Incidence Rate Variations among the Chinese, South Asian, and Vietnamese  in Massachusetts, 2011-2015 (2020)",Included,narrative,reference is All-Asian not NHW -> narrative/context,Y
193,40885651,Breast cancer trends and outcomes among young Black Women: A national cancer database analysis (2026),Excluded,Ineligible population,Ineligible population — NCDB is hospital-based NOT population-based -> invalid incidence denominator,Y
199,18507200,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, mortality, survival rates and histology (2008)",Included,quant-extracted,SEER black/white incidence 1995-2004,Y
200,23166647,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Progesterone Receptor Statuses (2012),Included,quant-extracted,black/white ER/PR crossover SEER17 2004-2008,Y
203,19001605,Recent trends in breast cancer among younger women in the United States (2008),Included,quant-extracted,young women black-white IRR 1.52 (<30) SEER13 1992-2004,Y
205,21357727,Breast cancer incidence rates in U.S. women re no longer declining (2011),Included,narrative,| quant->narrative: NH-White breast-incidence-TREND 2003-2007 (temporal trend),Y
207,23878354,"Cancer incidence trends among native hawaiians and other pacific islanders in the united states, 1990-2008 (2013)",Included,narrative,| quant->narrative: JNCI cancer-incidence-TRENDS NHOPI 1990-2008; NHOPI subgroups covered by rec234,Y
209,36530732,Racial and regional disparities of triple negative breast cancer incidence rates in the United States: An analysis of 2011-2019 NPCR and SEER incidence data (2022),Included,quant-eligible,"TNBC AAIR by race 2011-2019; overlaps 155/142 USCS TNBC -> dedup | DEFER-quant: national TNBC-by-race (NPCR+SEER 2011-2019); rate table not in flattened text, no PDF - overlaps TNBC rep rec155",Y
210,34861613,"Breast cancer incidence trends in Asian women aged 20 or older as compared to other ethnic women in the United States from 2000 to 2018 by time period, age and tumor stage (2022)",Included,narrative,| quant->narrative: Asian breast-incidence-TRENDS 2000-2018 (temporal trend),Y
226,35113296,"Home mortgage discrimination and incidence of triple-negative and Luminal A breast cancer among non-Hispanic Black and non-Hispanic White females in California, 2006–2015 (2022)",Included,narrative,mortgage-discrimination exposure study; race-specific TNBC incidence present but redlining-framed -> narrative,Y
234,42377954,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander Populations, 2000-2022 (2026)",Included,quant-extracted,disaggregated AANHPI incidence + NHW comparator,Y
235,32162336,"Annual report to the nation on the status of cancer, part I: National cancer statistics (2020)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
236,20147696,Hidden breast cancer disparities in Asian women: disaggregating incidence rates by ethnicity and migrant status. (2010),Included,quant-extracted,Gomez hidden-disparities; Chinese IRR 1.84 Filipina 1.32; CCR 1998-2004,Y
238,15219802,"Patterns in cancer incidence among American Indians/Alaska Natives, United States, 1992-1999 (2004)",Included,narrative,| quant->narrative: SEER-12 AI/AN vs White (unlinked national registry undercounts AIAN); overlaps IHS-linked AIAN representatives,Y
246,20567897,Does socioeconomic disparity in cancer incidence vary across racial/ethnic groups? (2010),Included,narrative,"| quant->narrative: relative index of inequality (RII) — socioeconomic gradient with highest-SES reference, not a race-vs-NHW IRR",Y
251,32671723,"Triple-negative breast cancer incidence in the United States: ecological correlations with area-level sociodemographics, healthcare, and health behaviors (2021)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — ecological area-level TNBC correlates; no race-specific incidence vs NHW,N
252,32212335,Forty-year trends in menopausal hormone therapy use and breast cancer incidence  among postmenopausal black and white women (2020),Included,narrative,HT-focused commentary; White/Black incidence trends in figures only -> narrative,Y
253,10761199,Breast cancer patterns and lifetime risk of developing breast cancer among Puerto Rican females. (2000),Excluded,Full text unavailable,Full text unavailable — could not obtain: Puerto Rican lifetime risk (PRCCR); some overlap w/ other Hispanic/PR studies,N
259,21850396,What can we learn from the age- and race/ethnicity- specific rates of inflammatory breast carcinoma? (2011),Included,narrative,| quant->narrative: inflammatory breast carcinoma (IBC) age/race rates - niche subtype outside target dimensions,Y
265,19066264,Age-related crossover in breast cancer incidence rates between black and white ethnic groups (2008),Included,quant-extracted,black/white crossover SEER9 1975-2004; overlaps 103/200/3186 -> dedup,Y
272,12973851,Cancer rates among American Indians and Alaska Natives: is there a national  perspective (2003),Included,narrative,| quant->narrative: AI/AN Pacific-Northwest incidence-estimation methods; overlaps represented AIAN,Y
277,29516087,Race/Ethnicity and Age Distribution of Breast Cancer Diagnosis in the United  States (2018),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — JAMA research letter; reports age distribution & stage NOT age-adjusted incidence rates,Y
278,23443443,"Incidence of breast cancer with distant involvement among women in the United States, 1976 to 2009 (2013)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — advanced/distant-involvement incidence not overall invasive by race,Y
284,42065927,"Trends in Female Breast Cancer Incidence among Japanese, Korean, and US Populations: An Age-Period-Cohort Analysis (2026)",Included,narrative,| quant->narrative: Japan/Korea/US age-period-cohort TREND analysis (international APC),N
286,33074325,Variation in breast cancer subtype incidence and distribution by race/ethnicity in the United States from 2010 to 2015 (2020),Included,quant-extracted,subtype IRRs by race vs NHW SEER18 2010-2015; overlaps 2/46/126 -> dedup,Y
310,18162138,"Recent breast cancer trends among Asian/Pacific Islander, Hispanic, and African-American women in the US: Changes by tumor subtype (2007)",Included,narrative,"reclassified from quant: incidence-trend paper (Clarke 2007); rates are age-50+ restricted, non-comparable to all-age IRR",N
316,29509274,Early estimates of cancer incidence for 2015: Expanding to include estimates for white and black races (2018),Included,narrative,early-estimate projection report all-cancer; breast white/black in validation tables -> narrative/overlap,N
321,27118258,Risks of developing breast and colorectal cancer in association with incomes and geographic locations in Texas: A retrospective cohort study (2016),Excluded,Did not report the outcome of interest,Did not report the outcome of interest — Texas breast incidence by income/geography; stratified by SES not race/ethnicity vs NHW,N
322,16322891,Inter- and intra-ethnic differences for female breast carcinoma incidence in the continental United States and in the state of Hawaii (2006),Included,narrative,inter/intra-ethnic incidence continental US + Hawaii SEER13 1992-2002 | RECLASS q->n: case counts + characteristic-specific RRs (tumor size/stage); subgroups as counts not rates - no clean incidence IRR,Y
324,28365834,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence trends and recent data on breast cancer subtypes (2017)",Included,quant-extracted,strong extractable IRRs incl TNBC 0.61; CCR 1988-2013,Y
333,20447917,Breast cancer incidence patterns among california hispanic women: Differences by nativity and residence in an enclave (2010),Included,quant-extracted,NHW 34% higher than US-born 84% higher than foreign-born Hispanic,Y
336,17627009,Early- and late-onset breast cancer types among women in the United States and Japan (2007),Included,narrative,"reclassified from quant: US-Japanese vs Osaka-Japan migrant study; reported IRR is age-at-diagnosis, not race-vs-NHW",Y
339,20167158,"Cancers of the breast, uterus, ovary and cervix among Alaska native women, 1974-2003 (2010)",Included,narrative,| quant->narrative: Alaska Native women 1974-2003 (older); Alaska Native covered by rec28/rec51,Y
346,27736827,"Patterns and Trends in Age-Specific Black-White Differences in Breast Cancer Incidence and Mortality - United States, 1999-2014 (2016)",Included,quant-extracted,black/white incidence USCS MMWR 1999-2014; overlaps USCS national (169/182) -> dedup,Y
354,16259500,Explaining geographic variation in breast and cervical cancer incidence rates in US Hispanic women (2005),Included,narrative,Hispanic breast ASIR geographic variation; comparator=geography not NHW -> narrative,Y
358,24343171,"Annual Report to the Nation on the status of cancer, 1975-2010, featuring  prevalence of comorbidity and impact on survival among persons with lung, colorectal, breast, or prostate cancer (2014)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
361,20147667,Decline in US breast cancer rates after the Women's Health Initiative: socioeconomic and racial/ethnic differentials. (2010),Included,narrative,reclassified from quant: HRT/patient-characteristics & trend paper; no poolable age-adjusted incidence IRR vs NHW,Y
362,28376154,"Annual Report to the Nation on the Status of Cancer, 1975-2014, Featuring  Survival (2017)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
369,29445940,"Differences in breast cancer incidence among young women aged 20–49 years by stage and tumor characteristics, age, race, and ethnicity, 2004–2013 (2018)",Included,narrative,| quant->narrative: young-women 20-49 stage/tumor-characteristics focus (not age-adjusted vs-NHW IRR),N
377,27792934,Racial/ethnicity disparities in invasive breast cancer among younger and older  women: An analysis using multiple measures of population health (2016),Included,narrative,| quant->narrative: composite multiple-population-health-measures analysis (not a single poolable IRR),N
381,20336785,Age/race differences in HER2 testing and in incidence rates for breast cancer triple subtypes: A population-based study and first report (2010),Included,quant-extracted,first triple-subtype incidence by age/race Atlanta SEER; subtype,Y
383,12206512,Rates for breast cancer characteristics by estrogen and progesterone receptor status in the major racial/ethnic groups (2002),Included,narrative,reclassified from quant: ER-subtype rates only age/stage/grade-stratified (Chu 2002); 1970 std; no clean overall per-race age-adjusted rate,Y
384,16958083,"Annual report to the nation on the status of cancer, 1975-2003, featuring cancer  among U.S. Hispanic/Latino populations (2006)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
385,10.1245/s10434-025-16974-x,"Disparities in Stage at Presentation for Disaggregated Asian American, Native Hawaiian, and Pacific Islander Patients with Breast Cancer (2025)",Excluded,Did not report the outcome of interest,Did not report the outcome of interest — outcome is advanced-stage odds not incidence rates,Y
402,26741869,"Disparities in Breast Cancer Incidence, Mortality, and Quality of Care among African American and European American Women in South Carolina (2016)",Included,narrative,| quant->narrative: AA-vs-EA South Carolina incidence/mortality/quality-of-care; regional Black overlap,N
405,23446808,A trend analysis of breast cancer incidence rates in the United States from 2000 to 2009 shows a recent increase (2013),Included,narrative,incidence trends by race SEER18 2000-2009 | RECLASS q->n: breast incidence TREND analysis (APC); no cross-sectional IRR,Y
411,25825511,"Annual report to the nation on the status of cancer, 1975-2011, featuring incidence of breast cancer subtypes by race/ethnicity, poverty, and state (2015)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,N
413,16204691,"Annual report to the nation on the status of cancer, 1975-2002, featuring  population-based trends in cancer treatment (2005)",Excluded,Overlapping or duplicate dataset,Overlapping or duplicate dataset — recurring statistical report (ARN); re-reports SEER/NPCR/NAACCR data already captured by primary studies + series representative,Y
415,17929614,Women's cancers among Alaska Natives 1969-2003. (2006),Excluded,Full text unavailable,Full text unavailable — could not obtain: Women's cancers Alaska Natives 1969-2003; overlaps AK Native Registry (51) & other AIAN,N
419,21656753,Higher population-based incidence rates of triple-negative breast cancer among young African-American women (2011),Included,quant-eligible,"TNBC + overall incidence by race young AA CCR 1988-2006 | DEFER-quant: TNBC young African-American (population-based); table not in flattened text, no PDF - overlaps TNBC rep rec155",Y
424,12223421,Breast cancer in a multiethnic cohort in Hawaii and Los Angeles: Risk factor-adjusted incidence in Japanese equals and in Hawaiians exceeds that in whites (2002),Excluded,Full text unavailable,"Full text unavailable — could not obtain: Hawaii/LA Multiethnic Cohort, Japanese risk-adjusted incidence; overlaps MEC subgroup studies",N
