rec_id,PMID,synth_group,verdict,detail,citation
2,24777111,quant-extracted,VERIFIED,eligibility signature present,US incidence of breast cancer subtypes defined by joint hormone receptor and HER
10,41082230,quant-extracted,VERIFIED,eligibility signature present,Breast Cancer Incidence Rates in Ghanaian and US Black Women from 2013 Through 2
12,41086189,quant-extracted,VERIFIED,eligibility signature present,Disparities and trends of the incidence and mortality of female-specific cancers
28,31234738,quant-extracted,VERIFIED,eligibility signature present,Invasive breast cancer among Alaska Native women in Alaska (2019)
49,16247793,quant-extracted,VERIFIED,eligibility signature present,"Cancer incidence in the Hmong in California, 1988-2000 (2005)"
51,34918619,quant-extracted,VERIFIED,eligibility signature present,The Alaska Native Tumour Registry: fifty years of cancer surveillance data for  
66,34427920,quant-extracted,VERIFIED,eligibility signature present,Age distributions of breast cancer diagnosis and mortality by race and ethnicity
100,21351091,quant-extracted,VERIFIED,eligibility signature present,Invasive breast cancer incidence trends by detailed race/ethnicity and age (2012
107,33705303,quant-extracted,VERIFIED,eligibility signature present,Quantification of Potential Inequities in Breast Cancer Incidence in New Mexico 
146,38277147,quant-extracted,VERIFIED,eligibility signature present,"Breast Cancer Incidence Among US Women Aged 20 to 49 Years by Race, Stage, and H"
155,36862439,quant-extracted,AUTHOR,no source PDF (confirm eligibility from full text),State Variation in Racial and Ethnic Disparities in Incidence of Triple-Negative
161,30503975,quant-extracted,VERIFIED,eligibility signature present,The high and heterogeneous burden of breast cancer in Hawaii: A unique multiethn
169,35025856,quant-extracted,VERIFIED,eligibility signature present,"Trends in Breast Cancer Incidence, by Race, Ethnicity, and Age Among Women Aged "
182,23151952,quant-extracted,VERIFIED,eligibility signature present,"Vital signs: Racial disparities in breast cancer severity - United States, 2005-"
199,18507200,quant-extracted,VERIFIED,eligibility signature present,"Breast cancer epidemiology in blacks and whites: Disparities in incidence, morta"
200,23166647,quant-extracted,VERIFIED,eligibility signature present,Breast Cancer Incidence in Black and White Women Stratified by Estrogen and Prog
203,19001605,quant-extracted,VERIFIED,eligibility signature present,Recent trends in breast cancer among younger women in the United States (2008)
234,42377954,quant-extracted,VERIFIED,eligibility signature present,"Breast Cancer Incidence in Asian American, Native Hawaiian, and Pacific Islander"
236,20147696,quant-extracted,VERIFIED,eligibility signature present,Hidden breast cancer disparities in Asian women: disaggregating incidence rates 
265,19066264,quant-extracted,VERIFIED,eligibility signature present,Age-related crossover in breast cancer incidence rates between black and white e
286,33074325,quant-extracted,AUTHOR,no source PDF (confirm eligibility from full text),Variation in breast cancer subtype incidence and distribution by race/ethnicity 
324,28365834,quant-extracted,VERIFIED,eligibility signature present,"Breast cancer in Asian Americans in California, 1988–2013: increasing incidence "
333,20447917,quant-extracted,VERIFIED,eligibility signature present,Breast cancer incidence patterns among california hispanic women: Differences by
346,27736827,quant-extracted,VERIFIED,eligibility signature present,Patterns and Trends in Age-Specific Black-White Differences in Breast Cancer Inc
381,20336785,quant-extracted,VERIFIED,eligibility signature present,Age/race differences in HER2 testing and in incidence rates for breast cancer tr
463,17163416,quant-extracted,VERIFIED,eligibility signature present,Recent trends in breast cancer incidence among 6 Asian groups in the Greater Bay
485,19124489,quant-extracted,VERIFIED,eligibility signature present,Trends in area-socioeconomic and race-ethnic disparities in breast cancer incide
500,31764279,quant-extracted,VERIFIED,eligibility signature present,Trends in Cancer Incidence among American Indians and Alaska Natives and Non-His
522,36504334,quant-extracted,VERIFIED,eligibility signature present,"Characterizing breast cancer incidence and trends among Asian American, Native H"
587,19292805,quant-extracted,VERIFIED,eligibility signature present,"Breast cancer in the middle eastern population of California, 1988-2004 (2009)"
955,19067192,quant-extracted,VERIFIED,eligibility signature present,Cancer among Asian Indians/Pakistanis living in the United States: Low incidence
1478,41385397,quant-extracted,VERIFIED,eligibility signature present,"Cancer incidence, stage at diagnosis, and trends across the Navajo Nation, 2014–"
2131,35699957,quant-extracted,VERIFIED,eligibility signature present,"Associations of Obesity, Physical Activity, and Screening With State-Level Trend"
2406,32337499,quant-extracted,VERIFIED,eligibility signature present,Subtype-specific breast cancer incidence rates in black versus white men in the 
2510,31575554,quant-extracted,VERIFIED,eligibility signature present,Disparities in cancer incidence and trends among American Indians and Alaska nat
3182,19661072,quant-extracted,VERIFIED,eligibility signature present,"Cancer incidence in first generation U.S. Hispanics: Cubans, Mexicans, Puerto Ri"
3267,17654663,quant-extracted,VERIFIED,eligibility signature present,"Cambodian cancer incidence rates in California and Washington, 1998-2002 (2007)"
3298,16933057,quant-extracted,VERIFIED,eligibility signature present,"Patterns of cancer incidence among US Hispanics/Latinos, 1995-2000 (2006)"
3398,12749722,quant-extracted,VERIFIED,eligibility signature present,"Cancer incidence patterns in Koreans in the US and in Kangwha, South Korea (2003"
3662,,quant-extracted,VERIFIED,eligibility signature present,Incidence of and Trends in the Leading Cancers with Elevated Incidence among Ame
4040,18066673,quant-extracted,VERIFIED,eligibility signature present,Cancer incidence and mortality patterns among specific Asian and Pacific Islande
4098,17626117,quant-extracted,VERIFIED,eligibility signature present,"Cancer incidence, mortality, and associated risk factors among Asian Americans o"
4333,12365024,quant-extracted,VERIFIED,eligibility signature present,Cancer among Hispanic women in South Florida: An 18-year assessment - A report f
209,36530732,quant-eligible,AUTHOR,no source PDF (confirm eligibility from full text),Racial and regional disparities of triple negative breast cancer incidence rates
419,21656753,quant-eligible,AUTHOR,no source PDF (confirm eligibility from full text),Higher population-based incidence rates of triple-negative breast cancer among y
461,26320932,quant-eligible,VERIFIED,eligibility signature present,"Trends and Patterns of Late and Unstaged Lung, Colorectal, Female Breast, and  P"
2137,35119703,quant-eligible,AUTHOR,no source PDF (confirm eligibility from full text),Cancer disparities among non-Hispanic urban American Indian and Alaska Native po
4027,26661680,quant-eligible,AUTHOR,no source PDF (confirm eligibility from full text),"Cancer incidence among Asian American populations in the United States, 2009-201"
0,39352042,narrative,VERIFIED,eligibility signature present,Breast cancer statistics 2024 (2024)
11,34545941,narrative,VERIFIED,eligibility signature present,"Cancer statistics for the US Hispanic/Latino population, 2021 (2021)"
14,40553473,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Breast Cancer Incidence Trends in Older US Women by Race, Ethnicity, Geography, "
17,15986118,narrative,VERIFIED,eligibility signature present,Racial and ethnic disparities in breast cancer rates by age: NAACCR Breast Cance
18,24670926,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Invasive cancer incidence - United States, 2010. (2014)"
31,29982593,narrative,VERIFIED,eligibility signature present,Black-white breast cancer incidence trends: Effects of ethnicity (2018)
46,39853979,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Incidence Rate Trends of Breast Cancer Overall and by Molecular Subtype by Race 
54,33099777,narrative,VERIFIED,eligibility signature present,"Breast cancer among Asian Indian and Pakistani Americans: A surveillance, epidem"
76,15224974,narrative,VERIFIED,eligibility signature present,Trends in breast cancer by race and ethnicity (2003)
80,39132985,narrative,AUTHOR,no source PDF (confirm eligibility from full text),"Breast, Colorectal, and Prostate Cancer Incidence among Filipino Americans by Ge"
86,11918384,narrative,AUTHOR,"signature missing: breast,rate,white,race (likely image PDF or narrative-only)",Breast cancer racial differences before age 40--implications for screening. (200
93,30972520,narrative,VERIFIED,eligibility signature present,Disparities in breast cancer subtypes among women in the lower Mississippi Delta
101,32596677,narrative,VERIFIED,eligibility signature present,Cumulative Incidence Rates of Breast Cancer by Age for Filipinos and Chamorros i
103,22773826,narrative,VERIFIED,eligibility signature present,Age-specific incidence of breast cancer subtypes: Understanding the black-white 
119,24676851,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Disparities of cancer incidence in Michigan's American Indians: Spotlight on bre
126,32804214,narrative,VERIFIED,eligibility signature present,Incidence trends of breast cancer molecular subtypes by age and race/ethnicity i
134,18720389,narrative,VERIFIED,eligibility signature present,"Breast cancer incidence among American Indian and Alaska Native women: US, 1999-"
141,34508608,narrative,VERIFIED,eligibility signature present,Decreasing Incidence of Estrogen Receptor-Negative Breast Cancer in the United S
142,32778443,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Are There Regional Differences in Triple Negative Breast Cancer among Non-Hispan
144,12115511,narrative,VERIFIED,eligibility signature present,Rapidly rising breast cancer incidence rates among Asian-American women (2002)
145,21473509,narrative,AUTHOR,no source PDF (confirm eligibility from full text),Persistence in breast cancer disparities between African Americans and whites in
151,23878350,narrative,VERIFIED,eligibility signature present,"Cancer incidence trends among asian american populations in the united states, 1"
