dimension,group,family,main_irr,main_rec,sens_irr,sens_rec,status,n_all,n_kept
aggregate-vs-NHW,AIAN,national,0.683,169,0.58,66,changed,5,2
aggregate-vs-NHW,Asian/PI (aggregate),national,0.769,169,0.92,66,changed,5,2
aggregate-vs-NHW,Black,national,0.933,169,0.97,66,changed,9,2
aggregate-vs-NHW,Hispanic,national,0.718,169,0.75,66,changed,7,2
disaggregated-AANHPI,Asian Indian/Pakistani,national,0.958,234,0.61,955,changed,2,1
Hispanic-origin,Cuban,national,0.755,3182,,,dropped,1,0
Hispanic-origin,Mexican,national,0.503,3182,,,dropped,1,0
Hispanic-origin,New Latino,national,0.684,3182,,,dropped,1,0
Hispanic-origin,Puerto Rican,national,0.817,3182,,,dropped,1,0
age-ge40,Black,national,0.851,265,,,dropped,1,0
age-ge50,AIAN,national,0.647,485,,,dropped,1,0
age-ge50,Asian/PI (aggregate),national,0.659,485,,,dropped,1,0
age-ge50,Black,national,0.914,485,,,dropped,1,0
age-ge50,Filipina,national,0.774,522,,,dropped,1,0
age-ge50,Hispanic,national,0.660,485,,,dropped,1,0
age-ge50,Japanese,national,1.064,522,,,dropped,1,0
age-ge50,Native Hawaiian,national,1.366,522,,,dropped,1,0
age-lt40,Black,national,1.183,265,,,dropped,2,0
age-lt50,Filipina,national,0.768,522,,,dropped,1,0
age-lt50,Japanese,national,1.479,522,,,dropped,1,0
age-lt50,Native Hawaiian,national,0.858,522,,,dropped,1,0
aggregate-vs-NHW,AIAN,IHS-PRCDA,0.560,500,,,dropped,1,0
disaggregated-AANHPI,Asian American (aggregate),national,0.792,234,,,dropped,1,0
disaggregated-AANHPI,Cambodian,national,0.264,3267,,,dropped,1,0
disaggregated-AANHPI,Chinese,national,0.760,234,,,dropped,4,0
disaggregated-AANHPI,Filipina,national,0.857,234,,,dropped,3,0
disaggregated-AANHPI,Guamanian/Chamorro/Samoan,national,0.723,234,,,dropped,1,0
disaggregated-AANHPI,Hmong,national,0.164,49,,,dropped,1,0
disaggregated-AANHPI,Japanese,national,1.045,234,,,dropped,3,0
disaggregated-AANHPI,Korean,national,0.677,234,,,dropped,5,0
disaggregated-AANHPI,Laotian/Kampuchean,national,0.388,234,,,dropped,1,0
disaggregated-AANHPI,Native Hawaiian,national,1.211,4040,,,dropped,2,0
disaggregated-AANHPI,Native Hawaiian/PI (aggregate),national,1.212,234,,,dropped,1,0
disaggregated-AANHPI,Vietnamese,national,0.586,234,,,dropped,3,0
subtype-ERneg-PRpos,Black,national,1.459,200,,,dropped,1,0
subtype-ERpos-PRneg,Black,national,0.974,200,,,dropped,1,0
subtype-HRneg,Black,national,1.796,10,,,dropped,2,0
subtype-HRpos,Black,national,0.820,10,,,dropped,2,0
subtype-HRpos-HER2pos,Asian/PI (aggregate),national,0.850,2,,,dropped,1,0
AIAN,AIAN,national,0.384,107,0.384,107,unchanged,1,1
AIAN,AIAN,IHS-PRCDA,0.87,2510,0.87,2510,unchanged,1,1
AIAN,AIAN (Navajo),IHS-PRCDA,0.49,1478,0.49,1478,unchanged,1,1
AIAN,AIAN (Northern Plains),IHS-PRCDA,1.33,3662,1.33,3662,unchanged,1,1
AIAN,AIAN (Southern Plains),IHS-PRCDA,1.25,3662,1.25,3662,unchanged,1,1
AIAN,Alaska Native,national,1.09,28,1.09,28,unchanged,2,1
Hispanic-origin,Hispanic/Latina (aggregate),national,0.64,3298,0.64,3298,unchanged,2,1
age-lt40,Black (age<40),national,1.16,199,1.16,199,unchanged,1,1
age-lt50,AIAN,national,0.75,146,0.75,146,unchanged,1,1
age-lt50,Asian/PI (aggregate),national,0.96,146,0.96,146,unchanged,1,1
age-lt50,Black,national,1.01,146,1.01,146,unchanged,1,1
age-lt50,Hispanic,national,0.76,146,0.76,146,unchanged,1,1
aggregate-vs-NHW,Black (women),national,0.98,2406,0.98,2406,unchanged,1,1
