dimension,group,family,main_irr,main_ci,main_rec,sens_irr,sens_ci,sens_rec,status,n_all,n_kept
AIAN,AIAN,,0.87,,2510,0.573,,2137,changed,3,2
age-ge40,Black,,0.851," [0.841, 0.862]",265,,,,dropped,1,0
age-lt40,Black,,1.183," [1.142, 1.226]",265,,,,dropped,2,0
age-lt40,Black (age<40),,1.16," [1.1, 1.23]",199,,,,dropped,1,0
subtype-ERneg-PRpos,Black,,1.459," [1.267, 1.679]",200,,,,dropped,1,0
subtype-ERpos-PRneg,Black,,0.974," [0.925, 1.027]",200,,,,dropped,1,0
subtype-HRneg-HER2pos,Japanese,,0.88," [0.82, 0.95]",161,,,,dropped,1,0
subtype-HRneg-HER2pos,Native Hawaiian,,1.19," [1.16, 1.21]",161,,,,dropped,1,0
subtype-HRpos-HER2neg,Chinese,,0.58,,161,,,,dropped,1,0
subtype-HRpos-HER2neg,Filipino,,0.64," [0.63, 0.66]",161,,,,dropped,1,0
subtype-HRpos-HER2neg,Japanese,,1.03," [1.03, 1.04]",161,,,,dropped,1,0
subtype-HRpos-HER2neg,Native Hawaiian,,1.12," [1.11, 1.14]",161,,,,dropped,1,0
subtype-HRpos-HER2pos,Chinese,,0.72," [0.55, 0.9]",161,,,,dropped,1,0
subtype-HRpos-HER2pos,Filipino,,0.88," [0.86, 0.91]",161,,,,dropped,1,0
subtype-HRpos-HER2pos,Japanese,,1.03," [1.02, 1.05]",161,,,,dropped,1,0
subtype-HRpos-HER2pos,Native Hawaiian,,1.35," [1.347, 1.351]",161,,,,dropped,1,0
subtype-TNBC,Chinese,,0.53," [0.39, 0.71]",161,,,,dropped,1,0
subtype-TNBC,Filipino,,0.84," [0.8, 0.88]",161,,,,dropped,1,0
subtype-TNBC,Native Hawaiian,,0.86," [0.79, 0.91]",161,,,,dropped,1,0
AIAN,AIAN (Navajo),,0.49," [0.44, 0.55]",1478,0.49," [0.44, 0.55]",1478,unchanged,1,1
AIAN,AIAN (Northern Plains),,1.33," [1.26, 1.41]",3662,1.33," [1.26, 1.41]",3662,unchanged,2,2
AIAN,AIAN (Southern Plains),,1.25," [1.11, 1.41]",3662,1.25," [1.11, 1.41]",3662,unchanged,1,1
Hispanic-origin,Cuban,,0.769," [0.688, 0.860]",3182,0.769," [0.688, 0.860]",3182,unchanged,1,1
Hispanic-origin,Hispanic/Latina (aggregate),,0.64,,3298,0.64,,3298,unchanged,2,2
Hispanic-origin,Mexican,,0.512," [0.382, 0.686]",3182,0.512," [0.382, 0.686]",3182,unchanged,1,1
Hispanic-origin,New Latino,,0.697," [0.629, 0.771]",3182,0.697," [0.629, 0.771]",3182,unchanged,1,1
Hispanic-origin,Puerto Rican,,0.833," [0.738, 0.939]",3182,0.833," [0.738, 0.939]",3182,unchanged,1,1
age-ge50,AIAN,,0.647,,485,0.647,,485,unchanged,1,1
age-ge50,Asian/PI (aggregate),,0.659,,485,0.659,,485,unchanged,1,1
age-ge50,Black,,0.914,,485,0.914,,485,unchanged,1,1
age-ge50,Filipina,,0.774," [0.700, 0.855]",522,0.774," [0.700, 0.855]",522,unchanged,1,1
age-ge50,Hispanic,,0.660,,485,0.660,,485,unchanged,1,1
age-ge50,Japanese,,1.064," [0.978, 1.157]",522,1.064," [0.978, 1.157]",522,unchanged,1,1
age-ge50,Native Hawaiian,,1.366," [1.246, 1.499]",522,1.366," [1.246, 1.499]",522,unchanged,1,1
age-lt50,AIAN,,0.75," [0.72, 0.79]",146,0.75," [0.72, 0.79]",146,unchanged,1,1
age-lt50,Asian/PI (aggregate),,0.96," [0.95, 0.97]",146,0.96," [0.95, 0.97]",146,unchanged,1,1
age-lt50,Black,,1.01," [1.0, 1.03]",146,1.01," [1.0, 1.03]",146,unchanged,1,1
age-lt50,Filipina,,0.768," [0.633, 0.932]",522,0.768," [0.633, 0.932]",522,unchanged,1,1
age-lt50,Hispanic,,0.76," [0.75, 0.77]",146,0.76," [0.75, 0.77]",146,unchanged,1,1
age-lt50,Japanese,,1.479," [1.252, 1.748]",522,1.479," [1.252, 1.748]",522,unchanged,1,1
age-lt50,Native Hawaiian,,0.858," [0.710, 1.036]",522,0.858," [0.710, 1.036]",522,unchanged,1,1
aggregate-vs-NHW,AIAN,,0.560," [0.550, 0.570]",500,0.560," [0.550, 0.570]",500,unchanged,6,6
