dimension,outcome_dim,group,effect,estimate,study,period,registry,rob
Overall invasive breast cancer,aggregate-vs-NHW,Hispanic,IRR,"0.718 [0.707, 0.731] ‡",Ellington2022_USCS,2018,USCS(NPCR+SEER ~99%),Low
Overall invasive breast cancer,aggregate-vs-NHW,Asian/PI (aggregate),IRR,"0.769 [0.752, 0.788] ‡",Ellington2022_USCS,2018,USCS(NPCR+SEER ~99%),Low
Overall invasive breast cancer,aggregate-vs-NHW,AIAN,IRR,0.87 (point est.),Melkonian2019_IHS-PRCDA,2010-2015,IHS-PRCDA,Moderate
Overall invasive breast cancer,aggregate-vs-NHW,Black,IRR,"0.933 [0.920, 0.946] ‡",Ellington2022_USCS,2018,USCS(NPCR+SEER ~99%),Low
Asian American subgroups,disaggregated-AANHPI,Hmong,IRR,"0.164 [0.120, 0.224] ‡",Mills2005,1988-2000,California-CCR,Low
Asian American subgroups,disaggregated-AANHPI,Cambodian,IRR,"0.264 [0.204, 0.341] ‡",Kem2007,1998-2002,California-CCR,Moderate
Asian American subgroups,disaggregated-AANHPI,Laotian/Kampuchean,IRR,"0.388 [0.350, 0.430] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Vietnamese,IRR,"0.586 [0.566, 0.608] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Korean,IRR,"0.677 [0.654, 0.701] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Chinese,IRR,"0.760 [0.745, 0.775] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Filipina,IRR,"0.857 [0.839, 0.874] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Asian Indian/Pakistani,IRR,"0.958 [0.937, 0.979] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Japanese,IRR,"1.045 [1.009, 1.083] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Asian American subgroups,disaggregated-AANHPI,Asian American (aggregate),IRR,"0.792 [0.784, 0.800] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Native Hawaiian and Pacific Islander (NHPI) subgroups,disaggregated-AANHPI,Guamanian/Chamorro/Samoan,IRR,"0.723 [0.641, 0.817] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
Native Hawaiian and Pacific Islander (NHPI) subgroups,disaggregated-AANHPI,Native Hawaiian,IRR,"1.270 [1.213, 1.330] ‡",Gomez2026_SEER21,2018-2022,SEER-national,Moderate
