Specific_Outcome,Subgroup,Age_group,Regional_restriction,Model,Lead_author_year,Effect_type,Risk_estimate,Provenance,I2,RoB_NOS
invasive (AI/AN by region),AIAN,all ages,IHS-PRCDA,single representative,Melkonian2019_IHS-PRCDA,IRR,0.87,directly-reported-IRR,single,Good
invasive (AI/AN by region),AIAN (Navajo),all ages,IHS-PRCDA,single representative,Nihiseah2025_Navajo,IRR,"0.49 [0.44, 0.55]",directly-reported-IRR,single,Good
invasive (AI/AN by region),"AIAN (Northern Plains, provisional)",all ages,IHS-PRCDA,single representative,Melkonian2020_IHS-PRCDA,IRR,"1.33 [1.26, 1.41]",directly-reported-IRR,single,Good
invasive (AI/AN by region),"AIAN (Southern Plains, provisional)",all ages,IHS-PRCDA,single representative,Melkonian2020_IHS-PRCDA,IRR,"1.25 [1.11, 1.41]",directly-reported-IRR,single,Good
invasive (Hispanic by origin),Cuban,all ages,State: Florida,single representative,Pinheiro2009_FL,IRR,"0.755 [0.677, 0.842]",computed-from-rates-with-CI,single,Good
invasive (Hispanic by origin),Hispanic/Latina (aggregate),all ages,NAACCR/CiNA (~93%),single representative,Howe2006_multistate,SIR,0.64,directly-reported-SIR,single,Good
invasive (Hispanic by origin),Mexican,all ages,State: Florida,single representative,Pinheiro2009_FL,IRR,"0.503 [0.376, 0.673]",computed-from-rates-with-CI,single,Good
invasive (Hispanic by origin),New Latino,all ages,State: Florida,single representative,Pinheiro2009_FL,IRR,"0.684 [0.619, 0.756]",computed-from-rates-with-CI,single,Good
invasive (Hispanic by origin),Puerto Rican,all ages,State: Florida,single representative,Pinheiro2009_FL,IRR,"0.817 [0.726, 0.920]",computed-from-rates-with-CI,single,Good
invasive female breast,Black,≥40,SEER-national,single representative,Anderson2008_SEER_19066264,IRR,0.851,computed-from-rates,single,Poor
invasive female breast,AIAN,≥50,SEER-national,single representative,Clegg2009_SEER,IRR,0.647,computed-from-rates,single,Poor
invasive female breast,Asian/PI (aggregate),≥50,SEER-national,single representative,Clegg2009_SEER,IRR,0.659,computed-from-rates,single,Poor
invasive female breast,Black,≥50,SEER-national,single representative,Anderson2008_SEER13,IRR,"0.825 [0.814, 0.836]",computed-from-rates-Poisson-SE,single,Good
invasive female breast,Filipina,≥50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"0.774 [0.700, 0.855]",computed-from-rates-with-CI,single,Good
invasive female breast,Hispanic,≥50,SEER-national,single representative,Clegg2009_SEER,IRR,0.660,computed-from-rates,single,Poor
invasive female breast,Japanese,≥50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"1.064 [0.978, 1.157]",computed-from-rates-with-CI,single,Good
invasive female breast,Native Hawaiian,≥50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"1.366 [1.246, 1.499]",computed-from-rates-with-CI,single,Good
invasive female breast,Black,<40,SEER-national,single representative,Anderson2008_SEER_19066264,IRR,1.183,computed-from-rates,single,Poor
invasive female breast,Black (age<40),<40,SEER-national,single representative,Amirikia2008_SEER9,IRR,"1.16 [1.1, 1.23]",directly-reported-IRR,single,Good
invasive female breast,AIAN,<50,SEER-national,single representative,Hendrick2024_SEER,IRR,"0.75 [0.72, 0.79]",directly-reported-IRR,single,Good
invasive female breast,Asian/PI (aggregate),<50,SEER-national,single representative,Hendrick2024_SEER,IRR,"0.96 [0.95, 0.97]",directly-reported-IRR,single,Good
invasive female breast,Black,<50,SEER-national,single representative,Hendrick2024_SEER,IRR,"1.01 [1.0, 1.03]",directly-reported-IRR,single,Good
invasive female breast,Filipina,<50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"0.768 [0.633, 0.932]",computed-from-rates-with-CI,single,Good
invasive female breast,Hispanic,<50,SEER-national,single representative,Hendrick2024_SEER,IRR,"0.76 [0.75, 0.77]",directly-reported-IRR,single,Good
invasive female breast,Japanese,<50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"1.479 [1.252, 1.748]",computed-from-rates-with-CI,single,Good
invasive female breast,Native Hawaiian,<50,Hawaii Tumor Registry (SEER),single representative,Sangaramoorthy2022_HTR,IRR,"0.858 [0.710, 1.036]",computed-from-rates-with-CI,single,Good
