dimension,group,record,IRR,rob,d_RoB,d_Incons,d_Indirect,d_Imprec,d_PubBias,up_LargeEffect,I2_allincl,GRADE
aggregate-vs-NHW,AIAN,500,"0.560 [0.550, 0.570]",Good,0,0,0,0,0,0,99,Low
aggregate-vs-NHW,Asian/PI (aggregate),169,"0.769 [0.752, 0.788]",Good,0,0,0,0,0,0,100,Low
aggregate-vs-NHW,Black,169,"0.933 [0.920, 0.946]",Good,0,0,0,0,0,0,96,Low
aggregate-vs-NHW,Black (women),2406,"0.98 [0.97, 0.98]",Good,0,0,0,0,0,0,single,Low
aggregate-vs-NHW,Hispanic,169,"0.718 [0.707, 0.731]",Good,0,0,0,0,0,0,99,Low
disaggregated-AANHPI,Asian American (aggregate),234,"0.792 [0.784, 0.800]",Good,0,0,0,0,0,0,single,Low
disaggregated-AANHPI,Asian Indian/Pakistani,234,"0.958 [0.937, 0.979]",Good,0,0,0,0,0,0,99,Low
disaggregated-AANHPI,Cambodian,3267,"0.264 [0.204, 0.341]",Good,0,0,0,0,0,1,single,Moderate
disaggregated-AANHPI,Chinese,234,"0.760 [0.745, 0.775]",Good,0,0,0,0,0,0,single,Low
disaggregated-AANHPI,Filipina,234,"0.857 [0.839, 0.874]",Good,0,0,0,0,0,0,single,Low
disaggregated-AANHPI,Guamanian/Chamorro/Samoan,234,"0.723 [0.641, 0.817]",Good,0,0,0,0,0,0,single,Low
disaggregated-AANHPI,Hmong,49,"0.164 [0.120, 0.224]",Good,0,0,0,0,0,2,single,High
disaggregated-AANHPI,Japanese,234,"1.045 [1.009, 1.083]",Good,0,0,0,0,0,0,single,Low
disaggregated-AANHPI,Korean,234,"0.677 [0.654, 0.701]",Good,0,0,0,0,0,0,100,Low
disaggregated-AANHPI,Laotian/Kampuchean,234,"0.388 [0.350, 0.430]",Good,0,0,0,0,0,1,single,Moderate
disaggregated-AANHPI,Native Hawaiian,4040,"1.211 [1.123, 1.305]",Good,0,0,0,0,0,0,11,Low
disaggregated-AANHPI,Native Hawaiian/PI (aggregate),234,"1.212 [1.168, 1.258]",Good,0,0,0,0,0,0,single,Low
