dimension,group,k,dl_irr,dl_ci,dl_tau2,pm_irr,pm_ci,pm_tau2,hksj_ci,i2,klt3
AIAN,Alaska Native,4,1.065,0.949-1.195,0.0104,1.065,0.946-1.198,0.0111,0.879-1.289,75,
aggregate-vs-NHW,AIAN,9,0.700,0.627-0.782,0.0279,0.701,0.635-0.773,0.0217,0.625-0.786,99,
aggregate-vs-NHW,Asian/PI (aggregate),7,0.812,0.757-0.870,0.0088,0.812,0.756-0.871,0.0090,0.743-0.886,100,
aggregate-vs-NHW,Black,12,0.951,0.933-0.971,0.0012,0.952,0.926-0.977,0.0022,0.923-0.981,99,
aggregate-vs-NHW,Hispanic,10,0.710,0.683-0.738,0.0037,0.710,0.676-0.746,0.0062,0.671-0.752,99,
disaggregated-AANHPI,Asian Indian/Pakistani,3,0.776,0.626-0.962,0.0353,0.775,0.600-1.001,0.0503,0.442-1.359,99,
disaggregated-AANHPI,Chinese,3,0.618,0.475-0.803,0.0539,0.618,0.489-0.780,0.0425,0.370-1.032,100,
disaggregated-AANHPI,Filipina,3,0.787,0.682-0.908,0.0157,0.787,0.688-0.900,0.0140,0.586-1.058,99,
disaggregated-AANHPI,Japanese,3,0.887,0.685-1.148,0.0515,0.887,0.701-1.122,0.0429,0.529-1.487,99,
disaggregated-AANHPI,Korean,4,0.419,0.277-0.636,0.1791,0.419,0.266-0.660,0.2130,0.201-0.876,100,
disaggregated-AANHPI,Vietnamese,3,0.506,0.406-0.629,0.0366,0.506,0.409-0.624,0.0340,0.318-0.803,98,
subtype-HRpos-HER2neg,Black,3,0.796,0.744-0.852,0.0035,0.796,0.731-0.867,0.0056,0.660-0.960,98,
subtype-HRpos-HER2pos,Black,3,1.047,0.966-1.134,0.0043,1.047,0.976-1.124,0.0032,0.897-1.223,93,
subtype-TNBC,Asian/PI (aggregate),3,0.714,0.645-0.790,0.0068,0.712,0.634-0.801,0.0094,0.551-0.920,90,
subtype-TNBC,Black,5,1.966,1.920-2.013,0.0005,1.961,1.888-2.037,0.0016,1.858-2.070,84,
subtype-TNBC,Hispanic,3,0.878,0.818-0.944,0.0034,0.878,0.815-0.946,0.0037,0.746-1.034,89,
AIAN,AIAN (Southern Plains),2,1.089,0.734-1.614,0.0796,1.089,0.734-1.614,0.0796,0.085-13.973,99,*
age-lt40,Black,2,1.176,1.142-1.212,0.0000,1.176,1.142-1.212,0.0000,1.051-1.317,0,*
disaggregated-AANHPI,Asian American (aggregate),2,0.746,0.664-0.839,0.0071,0.746,0.664-0.839,0.0071,0.350-1.592,99,*
disaggregated-AANHPI,Native Hawaiian,2,1.252,1.200-1.307,0.0001,1.252,1.200-1.307,0.0001,0.950-1.651,11,*
subtype-HRneg,Black,2,1.695,1.514-1.899,0.0064,1.695,1.514-1.899,0.0064,0.814-3.533,96,*
subtype-HRneg-HER2pos,Black,2,1.369,1.213-1.545,0.0072,1.369,1.213-1.545,0.0072,0.624-3.003,94,*
subtype-HRpos,Black,2,0.759,0.653-0.883,0.0117,0.759,0.653-0.883,0.0117,0.286-2.020,99,*
subtype-HRpos-HER2neg,Asian/PI (aggregate),2,0.775,0.616-0.974,0.0270,0.775,0.616-0.974,0.0270,0.176-3.410,99,*
subtype-HRpos-HER2neg,Hispanic,2,0.687,0.535-0.882,0.0325,0.687,0.535-0.882,0.0325,0.135-3.486,99,*
subtype-HRpos-HER2pos,Hispanic,2,0.794,0.603-1.045,0.0382,0.794,0.603-1.045,0.0382,0.133-4.731,97,*
