dimension,group,irr,ci_lo,ci_hi,record,ci_source,comparator
aggregate-vs-NHW,Hispanic,0.718,0.707,0.731,169,computed,NHW
aggregate-vs-NHW,Asian/PI (aggregate),0.769,0.752,0.788,169,computed,NHW
aggregate-vs-NHW,AIAN,0.87,0.87,0.87,2510,point,NHW
aggregate-vs-NHW,Black,0.933,0.92,0.946,169,computed,NHW
disaggregated-AANHPI,Hmong,0.164,0.12,0.224,49,computed,NHW
disaggregated-AANHPI,Cambodian,0.264,0.204,0.341,3267,computed,NHW
disaggregated-AANHPI,Laotian/Kampuchean,0.388,0.35,0.43,234,computed,NHW
disaggregated-AANHPI,Vietnamese,0.586,0.566,0.608,234,computed,NHW
disaggregated-AANHPI,Korean,0.677,0.654,0.701,234,computed,NHW
disaggregated-AANHPI,Guamanian/Chamorro/Samoan,0.723,0.641,0.817,234,computed,NHW
disaggregated-AANHPI,Chinese,0.76,0.745,0.775,234,computed,NHW
disaggregated-AANHPI,Asian American (aggregate),0.792,0.784,0.8,234,computed,NHW
disaggregated-AANHPI,Filipina,0.857,0.839,0.874,234,computed,NHW
disaggregated-AANHPI,Asian Indian/Pakistani,0.958,0.937,0.979,234,computed,NHW
disaggregated-AANHPI,Japanese,1.045,1.009,1.083,234,computed,NHW
disaggregated-AANHPI,Native Hawaiian/PI (aggregate),1.212,1.168,1.258,234,computed,NHW
disaggregated-AANHPI,Native Hawaiian,1.27,1.213,1.33,234,computed,NHW
disaggregated-MENA,Middle Eastern,0.86,0.84,0.88,587,reported,NHW
Hispanic-origin,Mexican,0.512,0.382,0.686,3182,computed,NHW
Hispanic-origin,New Latino,0.697,0.629,0.771,3182,computed,NHW
Hispanic-origin,Cuban,0.769,0.688,0.86,3182,computed,NHW
Hispanic-origin,Puerto Rican,0.833,0.738,0.939,3182,computed,NHW
AIAN,AIAN (Navajo),0.49,0.44,0.55,1478,reported,NHW
AIAN,AIAN (Southwest),0.57,0.57,0.57,2510,point,NHW
AIAN,AIAN (East),0.61,0.61,0.61,2510,point,NHW
AIAN,AIAN (Pacific Coast),0.93,0.93,0.93,2510,point,NHW
AIAN,AIAN (Northern Plains),1.05,1.05,1.05,2510,point,NHW
AIAN,Alaska Native,1.09,0.99,1.21,28,reported,White (unstratified)
AIAN,AIAN (Southern Plains),1.33,1.26,1.41,3662,reported,NHW
subtype-TNBC,Chinese,0.53,0.31,0.93,161,computed,White (unstratified)
subtype-TNBC,Asian American (aggregate),0.61,0.58,0.65,324,reported,NHW
subtype-TNBC,Asian/PI (aggregate),0.7,0.68,0.72,155,reported,NHW
subtype-TNBC,Filipina,0.84,0.6,1.18,161,computed,White (unstratified)
subtype-TNBC,Native Hawaiian,0.86,0.6,1.22,161,computed,White (unstratified)
subtype-TNBC,AIAN,0.86,0.8,0.93,155,reported,NHW
subtype-TNBC,Hispanic,0.86,0.84,0.88,155,reported,NHW
subtype-TNBC,Japanese,1.08,0.79,1.46,161,computed,White (unstratified)
subtype-TNBC,Black,1.95,1.93,1.98,155,reported,NHW
subtype-HRneg-HER2pos,Japanese,0.88,0.54,1.44,161,computed,White (unstratified)
subtype-HRneg-HER2pos,AIAN,1.04,0.82,1.31,286,reported,NHW
subtype-HRneg-HER2pos,Hispanic,1.05,0.99,1.11,286,reported,NHW
