dimension,group,k_all,sens_irr,sens_lo,sens_hi,I2,Q,df,p_Q,model,tau2,main_irr,main_lo,main_hi,main_k,hksj_unstable
AIAN,AIAN (Southern Plains),2,1.089,0.085,13.973,99,73.31,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0796,1.33,1.257,1.407,1,yes
AIAN,Alaska Native,4,1.065,0.879,1.289,75,12.22,3,0.007,"random-effects (PM/REML, HKSJ)",0.0111,1.09,0.986,1.205,1,no
age-lt40,Black,2,1.176,1.051,1.317,0,0.34,1,0.561,"random-effects (PM/REML, HKSJ)",0.0,1.183,1.142,1.226,1,yes
aggregate-vs-NHW,AIAN,9,0.701,0.625,0.786,99,1326.29,8,<0.001,"random-effects (PM/REML, HKSJ)",0.0217,,,,0,no
aggregate-vs-NHW,Asian/PI (aggregate),7,0.812,0.743,0.886,100,2085.55,6,<0.001,"random-effects (PM/REML, HKSJ)",0.009,0.769,0.751,0.787,1,no
aggregate-vs-NHW,Black,12,0.952,0.923,0.981,99,866.18,11,<0.001,"random-effects (PM/REML, HKSJ)",0.0022,0.933,0.92,0.946,1,no
aggregate-vs-NHW,Hispanic,10,0.71,0.671,0.752,99,1491.28,9,<0.001,"random-effects (PM/REML, HKSJ)",0.0062,0.718,0.706,0.73,1,no
disaggregated-AANHPI,Asian American (aggregate),2,0.746,0.35,1.592,99,147.81,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0071,0.792,0.784,0.8,1,yes
disaggregated-AANHPI,Asian Indian/Pakistani,3,0.775,0.442,1.359,99,152.97,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0503,0.958,0.937,0.979,1,no
disaggregated-AANHPI,Chinese,3,0.618,0.37,1.032,100,628.13,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0425,0.76,0.745,0.775,1,no
disaggregated-AANHPI,Filipina,3,0.787,0.586,1.058,99,200.01,2,<0.001,"random-effects (PM/REML, HKSJ)",0.014,0.857,0.84,0.875,1,no
disaggregated-AANHPI,Japanese,3,0.887,0.529,1.487,99,281.66,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0429,1.045,1.009,1.083,1,no
disaggregated-AANHPI,Korean,4,0.419,0.201,0.876,100,660.27,3,<0.001,"random-effects (PM/REML, HKSJ)",0.213,0.677,0.654,0.701,1,no
disaggregated-AANHPI,Native Hawaiian,2,1.252,0.95,1.651,11,1.12,1,0.290,"random-effects (PM/REML, HKSJ)",0.0001,1.211,1.123,1.305,1,yes
disaggregated-AANHPI,Vietnamese,3,0.506,0.318,0.803,98,118.48,2,<0.001,"random-effects (PM/REML, HKSJ)",0.034,0.586,0.565,0.607,1,no
subtype-HRneg,Black,2,1.695,0.814,3.533,96,25.06,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0064,1.796,1.74,1.853,1,yes
subtype-HRneg-HER2pos,Asian/PI (aggregate),2,1.299,0.401,4.213,83,5.85,1,0.016,"random-effects (PM/REML, HKSJ)",0.0144,1.41,1.332,1.492,1,yes
subtype-HRneg-HER2pos,Black,3,1.358,1.145,1.612,88,16.62,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0035,1.29,1.26,1.32,1,no
subtype-HRpos,Black,2,0.759,0.286,2.02,99,86.81,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0117,0.82,0.805,0.836,1,yes
subtype-HRpos-HER2neg,Asian/PI (aggregate),2,0.775,0.176,3.41,99,110.4,1,<0.001,"random-effects (PM/REML, HKSJ)",0.027,0.87,0.855,0.885,1,yes
subtype-HRpos-HER2neg,Black,3,0.796,0.66,0.96,98,94.82,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0056,0.79,0.785,0.795,1,no
subtype-HRpos-HER2neg,Hispanic,2,0.687,0.135,3.486,99,137.56,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0325,0.78,0.765,0.795,1,yes
subtype-HRpos-HER2pos,Black,3,1.047,0.897,1.223,93,27.66,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0032,1.01,0.995,1.025,1,no
subtype-HRpos-HER2pos,Hispanic,2,0.794,0.133,4.731,97,29.94,1,<0.001,"random-effects (PM/REML, HKSJ)",0.0382,0.91,0.88,0.941,1,yes
subtype-TNBC,Asian/PI (aggregate),3,0.712,0.551,0.92,90,20.7,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0094,0.7,0.68,0.72,1,no
subtype-TNBC,Black,5,1.961,1.858,2.07,84,25.51,4,<0.001,"random-effects (PM/REML, HKSJ)",0.0016,1.95,1.925,1.975,1,no
subtype-TNBC,Hispanic,3,0.878,0.746,1.034,89,18.18,2,<0.001,"random-effects (PM/REML, HKSJ)",0.0037,0.86,0.84,0.88,1,no
