label,dimension,group,irr,ci_lo,ci_hi,comparator,ci_source
AANHPI aggregate,aggregate-vs-NHW,Asian/PI (aggregate),0.769,0.752,0.788,NHW,computed
Hmong,disaggregated-AANHPI,Hmong,0.164,0.12,0.224,NHW,computed
Cambodian,disaggregated-AANHPI,Cambodian,0.264,0.204,0.341,NHW,computed
Laotian/Kampuchean,disaggregated-AANHPI,Laotian/Kampuchean,0.388,0.35,0.43,NHW,computed
Vietnamese,disaggregated-AANHPI,Vietnamese,0.586,0.566,0.608,NHW,computed
Korean,disaggregated-AANHPI,Korean,0.677,0.654,0.701,NHW,computed
Chinese,disaggregated-AANHPI,Chinese,0.76,0.745,0.775,NHW,computed
Filipina,disaggregated-AANHPI,Filipina,0.857,0.839,0.874,NHW,computed
Asian Indian/Pakistani,disaggregated-AANHPI,Asian Indian/Pakistani,0.958,0.937,0.979,NHW,computed
Japanese,disaggregated-AANHPI,Japanese,1.045,1.009,1.083,NHW,computed
Asian American aggregate,disaggregated-AANHPI,Asian American (aggregate),0.792,0.784,0.8,NHW,computed
Guamanian/Chamorro/Samoan,disaggregated-AANHPI,Guamanian/Chamorro/Samoan,0.723,0.641,0.817,NHW,computed
Native Hawaiian,disaggregated-AANHPI,Native Hawaiian,1.27,1.213,1.33,NHW,computed
NHPI aggregate,disaggregated-AANHPI,Native Hawaiian/PI (aggregate),1.212,1.168,1.258,NHW,computed
Hispanic aggregate,aggregate-vs-NHW,Hispanic,0.718,0.707,0.731,NHW,computed
Mexican,Hispanic-origin,Mexican,0.512,0.382,0.686,NHW,computed
New Latino,Hispanic-origin,New Latino,0.697,0.629,0.771,NHW,computed
Cuban,Hispanic-origin,Cuban,0.769,0.688,0.86,NHW,computed
Puerto Rican,Hispanic-origin,Puerto Rican,0.833,0.738,0.939,NHW,computed
AI/AN aggregate,aggregate-vs-NHW,AIAN,0.87,0.87,0.87,NHW,point
Navajo area,AIAN,AIAN (Navajo),0.49,0.44,0.55,NHW,reported
Southwest,AIAN,AIAN (Southwest),0.57,0.57,0.57,NHW,point
East,AIAN,AIAN (East),0.61,0.61,0.61,NHW,point
Pacific Coast,AIAN,AIAN (Pacific Coast),0.93,0.93,0.93,NHW,point
Northern Plains,AIAN,AIAN (Northern Plains),1.05,1.05,1.05,NHW,point
Alaska Native,AIAN,Alaska Native,1.09,0.99,1.21,White (unstratified),reported
Southern Plains,AIAN,AIAN (Southern Plains),1.33,1.26,1.41,NHW,reported
