"Title","Author Names","Source title","Publication Year","Publication Type","ISSN","Abstract","Author Keywords","Article Language","Embase Accession ID","Medline PMID","DOI"
"Childhood exposure to second-hand smoke (SHS) and risk of breast cancer in postmenopausal never smokers: the Multiethnic Cohort (MEC) study","Gram I.T., Park S.-Y., Wilkens L.R., Haiman C.A., Wu A.H., Le Marchand L.","Breast Cancer Research","2026","Article","1465-542X (electronic),1465-5411","Background: Neither active smoking nor second-hand smoke (SHS) are established causes for breast cancer. We examined the association between daily SHS exposure at home during childhood and postmenopausal breast cancer risk among never smokers in the Multiethnic Cohort (MEC) Study. Methods: We analyzed data from 24,261 never-smoking postmenopausal female MEC participants, aged 60–89 years in 2008–2012, when they provided information on SHS exposure during childhood in the forth questionnaire (QX4). We identified invasive breast cancer cases and tumour receptor status via linkage to the Hawaii and California Surveillance, Epidemiology and End Results Program cancer registries through December 2019. We used Cox proportional hazards models to estimate age-adjusted hazard ratios (HRs) and 95% confidence intervals (CIs), adjusting for race and ethnicity. Results: During a mean follow-up of 7.8 years, we identified 709 incident, invasive breast cancer cases. Women reporting any childhood SHS exposure had a 17% higher risk (HR = 1.17, 95% CI: 1.00–1.36) of breast cancer compared with those reporting no childhood exposure, after adjustment for age at QX4 and race and ethnicity. We found higher HRs for breast cancer for those exposed ≥ 3 h/day (HR = 1.24, 95% CI: 1.02–1.51), those exposed ≥ 18 years (HR = 1.26, 95% CI: 1.04–1.53), and those with the highest joint exposure (≥ 3 h/day & ≥18 years) (HR = 1.28, 95% CI: 1.00–1.63). A trend test, with increasing integers from those not exposed to those most exposed, showed a dose response relationship between duration and breast cancer risk for all three associations (all P(trend) ≤0.03). The childhood SHS exposure and breast cancer risk association did not differ, (all P(heterogeneity) ≥0.17), when we stratified on nine established breast cancer risk factors (year of birth, age at QX4, race and ethnicity, education years, age at menarche, parity status, BMI -, physical activity -, and alcohol consumption all at QX4). Conclusions: Our findings, in this diverse population, add prospective data that daily SHS exposure during childhood may increase the risk of postmenopausal breast cancer. Our results provide additional arguments to establish SHS as a cause of breast cancer and to implement smoking bans in public and private places, when children are present.","Breast cancer prevention,Breast cancer risk,Childhood exposure,Cohort studies,Multiethnic Cohort,Passive smoking,Postmenopausal breast cancer,Prospective study,Second-hand smoke","English",,41449415,10.1186/s13058-025-02202-7
"Protocol for a cluster randomized trial to evaluate a faith-based breast cancer screening navigation model","Gresham G., Kim D.H., Sung M.J., Diniz M.A., Finster L., Fine M., Jeon C., Herrmann A.K., Lee J.Y., Surani Z., Haile R.W.","Trials","2026","Article","1745-6215 (electronic)","Background: Breast cancer is the most diagnosed cancer among women in the United States. While rates of advanced-stage breast cancer have declined overall, incidence is rising among Korean American women. Advanced-stage breast cancer is more frequent among Korean women compared to other Asian ethnic groups, largely attributed to low adherence to breast cancer screening. Church settings offer important opportunities for education as most Korean American women over age 50 regularly attend church services. The objective of this trial is to evaluate the efficacy of a culturally tailored intervention Faith in Action! on breast cancer screening adherence rates among Korean American women. Methods: A parallel cluster randomized trial with staggered roll-out was designed to evaluate the efficacy of the Faith in Action! intervention, a church-based small group education and lay health navigator program, delivered by trained church members, on breast cancer screening among Korean American women (NCT05298605). The study was designed and will be conducted in partnership with our center’s Community Outreach and Engagement (COE), which formed a Community Advisory Board. Twenty-four total Korean churches in Los Angeles will be randomized within blocks of 8 churches to either intervention or waitlist control conditions in a 1:1 ratio. Using a train-the-trainer approach, lay navigators from the Korean Church community nominated by church leadership will be trained by COE and certified to deliver the Faith in Action! intervention to study participants over a 6-month program period. Participants at churches randomized to the waitlist control group receive an educational presentation on physical activity and nutrition and, after 6-month follow-up, are invited to receive the Faith in Action! intervention. Eligible participants include women, ages 45–75 years, who attend a participating church in Los Angeles County, do not have a breast cancer diagnosis, and did not receive a mammogram in the last 2 years. The primary outcome is adherence to breast cancer screening guidelines within 6 months from the end of the intervention. Secondary outcomes include adherence to breast cancer screening within 1 year and knowledge on breast cancer screening. Discussion: This study addresses a current need for developing and testing culturally tailored interventions to increase breast cancer screening adherence among Korean American women. Leveraging faith-based organizations and delivering the intervention through trained lay health navigators, if found to be effective, has the potential to provide a scalable and sustainable strategy for increasing screening rates and ultimately improve health and well-being as well as reduce cancer-related disparities in this population. Trial registration: ClinicalTrials.gov NCT05298605. Registered on March 17, 2022.","Breast cancer,Cancer prevention,Cancer screening,Faith-based interventions,Health knowledge","English",,41612469,10.1186/s13063-025-09397-2
"Socioeconomic disparities in long-term heart failure risk of trastuzumab with or without anthracyclines in early-stage breast cancer: a SEER-Medicare database analysis","Britten K., Lipsyc-Sharf M., Yang E.H., McCloskey S., Sedrak M.S., Teshome M., LaBarbera J., Bardia A., McAndrew N.","npj Breast Cancer","2026","Article","2374-4677 (electronic)","While it is well-established that cardiovascular disease and congestive heart failure (CHF) are increased among breast cancer survivors, little is known about how systemic therapy use, medical comorbidities, and socioeconomic factors interact to influence long-term cardiac outcomes. In this study, we performed an analysis of the SEER-Medicare database, including more than 200,000 patients with early-stage breast cancer. Using available zip code and census data, patient disease characteristics and cardiac outcomes were stratified by socioeconomic variables. Overall, patients of Black, Hispanic, and American Indian/Alaskan Native race/ethnicity had an increased incidence of large, high-grade tumors and nodal involvement as compared to White and Asian American/Pacific Islander (AAPI) patients. Lower per capita income (PCI), higher percentage of population living in poverty, lower level of education, and not speaking English at home were also associated with increased tumor size, grade, and nodal stage. Adjusting for cardiac covariates and cancer therapy type, a multivariate socioeconomic model revealed that Black patients had a higher risk of CHF and AAPI patients had a lower risk compared to White patients. Further adjusting for race/ethnicity, patients living in a zip code in the lowest quartile of PCI also had a higher risk of CHF compared to those in the highest quartile.",,"English",,,10.1038/s41523-025-00883-z
"Synergistic effects of obesity and type 2 diabetes on adiposity-related cancer risk across age strata","Henney A.E., Heague M., Alam U., Cuthbertson D.J.","BMC Medicine","2026","Article","1741-7015 (electronic)","Background: Obesity and type 2 diabetes (T2D) each independently increase cancer risk, but their combined impact is less understood. With rising early-onset obesity, T2D, and cancer in younger populations, we assessed how diagnoses of both obesity and T2D affect adiposity-related cancer incidence compared to each condition alone, focussing on age-specific trends. Methods: We performed a retrospective (real-world) cohort analysis in a large global federated database (TriNetX, Cambridge MA, USA). Three cohorts were generated and compared with a reference arm, patients without obesity or T2D: cohort 1—patients with obesity, without T2D; cohort 2—patients with T2D, without obesity, and cohort 3—patients with both obesity and T2D. Cohorts underwent propensity score matching (PSM) 1:1 of confounders. We examined 5-year rates of incident cancer (including thirteen (traditional) adiposity-related cancers and an expanded list of 24 adiposity-related cancers), performing stratified analyses by age (younger, middle-aged, and older adults (< 40, 40–60, > 60 years), respectively), ethnicity (white, and non-white), and sex (male and female). Results: After PSM, we compared 2,655,891 people with only obesity, 290,965 with only T2D and 705,499 people with both obesity and T2D, against the reference (1:1). The highest risk was observed in patients with both obesity and T2D (traditional cancers (HR 1.48 [95% CI 1.15, 1.51]) and all adiposity-related cancers (1.30 [1.27, 1.32])). T2D increased the risk of both traditional (1.35 [1.31, 1.39]) and all adiposity-related cancers (1.27 [1.23, 1.31]) to a greater extent than obesity only (increased risk of traditional adiposity-related cancers (1.07 [1.05, 1.09]), but not all adiposity-related cancers (0.99 [0.98, 1.01]). Concerningly, the highest risk of all traditional and adiposity-related cancers was seen in younger (< 40 years) adults with obesity and T2D (1.40 [1.10, 1.79] and 1.58 [1.21, 2.05], respectively). Conclusions: Risk of incident adiposity-related cancer is driven most strongly by the combination of obesity and T2D, versus either alone, across all age groups, including those with early-onset disease. The impact of early-onset obesity and T2D provides a critical public health problem that demands targeted screening and management.","Adiposity,Cancer,Diabetes,Obesity","English",,41975400,10.1186/s12916-026-04842-8
"Performance of three breast cancer risk assessment tools in US Black women","Zirpoli G., Pfeiffer R.M., Palmer J.R.","Breast Cancer Research","2026","Article","1465-542X (electronic),1465-5411","Background: Breast cancer risk prediction models aid identification of high-risk women for earlier or more frequent screening. The two most commonly used U.S. models appear to perform less well in Black women, possibly because Black women have a lower proportion of estrogen-receptor positive breast cancer. We recently developed and externally validated a model for use in Black women (BWHS model). Here, we compare performance metrics of that model with the other two models using data from a large cohort of Black women. Results: We assessed the NCI Breast Cancer Risk Assessment Tool (BCRAT) using the option for Black women, the IBIS model, including clinical variables only, and the BWHS model in data from a cohort of 50,235 Black women followed over four sequential 5 year periods. Predictors were updated at the start of each 5 year period, and 2041 invasive breast cancers occurred. Calibration metrics, expected over observed number of cancers, were 0.99 (0.94–1.04), 0.97 (0.93–1.02), and 1.13 (1.08–1.18) from the BWHS, BCRAT, and IBIS models, respectively. The metrics for discriminatory accuracy, age-adjusted area under the curve (AUC), were 0.58 (0.56–0.59), 0.56 (0.55–0.57), and 0.56 (0.55–0.57), from the BWHS, BCRAT, and IBIS models, respectively. Conclusions: In this comparison, the BWHS model had better calibration and discrimination than BCRAT and IBIS, including among women age < 40, indicating a benefit to using the BWHS model for Black women. While models that incorporate mammographic features may have higher AUCs, models based on clinical factors are beneficial for young women and those without available mammography data.","Black women,Breast cancer incidence,Risk prediction model","English",,41957866,10.1186/s13058-026-02274-z
"Biomarker, treatment patterns, and survival differences in metastatic triple-negative breast cancer by race in the United States","Farrokhi P., Park L., Schmutz H.W., Thompson S.L., Lam C., Bryan J., Stenehjem D.D.","npj Breast Cancer","2026","Article","2374-4677 (electronic)","Triple-negative breast cancer (TNBC) disproportionately affects Black women, with higher incidence rates and worse outcomes compared with White women. This study included 670 adult patients with metastatic TNBC diagnosed between January 2017 and March 2022 from the Flatiron Clinico-Genomic database. All patients underwent NGS-based testing and were assessed for prevalence of BRCA1/2, PIK3CA, AKT1, and PTEN alterations; treatment patterns; and survival outcomes. Of 670 patients, 28% were Black and 72% White. Black patients had higher BRCA1/2 alteration prevalence (12% vs. 7%; p < 0.04) but similar rates of other mutations. First-line therapy rates were comparable between groups. No significant differences in overall survival were observed (median 13.7 months for Black patients vs. 18.9 months for White patients; p = 0.15). Black patients with metastatic TNBC were nearly twice as likely to have BRCA1/2 alterations, suggesting potential benefit from PARP inhibition. Although survival differences were not statistically significant, larger studies are needed to understand racial disparities in treatments and outcomes.",,"English",,,10.1038/s41523-026-00945-w
"Long-term risk of second primary malignancy in young women with breast cancer receiving postoperative radiotherapy","Wu J., Gao B., Zhang Y.","Discover Oncology","2026","Article","2730-6011 (electronic)","Background: Therapy for young women with breast cancer (YWBC) in early stage includes surgery, radiotherapy, and endocrinotherapy. Radiation exposure, including from postoperative radiotherapy (PORT), is known to increase the risk of subsequent malignancies, particularly in younger individuals with longer life expectancy and greater tissue susceptibility. However, the long-term risk of second primary malignancy (SPM) associated with PORT specifically in YWBC remains poorly characterized. Methods: In this retrospective cohort study using sing data from the Surveillance, Epidemiology, and End Results (SEER)-8 registries (1975–2018), we identified women aged 18–39 years diagnosed with localized or regional stage breast cancer. PORT-correlated risks were evaluated using multivariable logistic regression and Fine-Gray competing risk regression analysis. Results: We identified 34,580 YWBC from the SEER database for our study, including 3,036 who developed SPMs. Logistic regression analyses indicated that PORT was associated with elevated odds of second primary solid malignancies (OR = 1.59, 95% CI 1.49–1.71), including breast cancer (OR = 1.99, 95% CI 1.82–2.17), lung cancer (OR = 1.73, 95% CI 1.39–2.18), and thyroid cancer (OR = 1.22, 95% CI 1.04–1.77). The cumulative incidence of SPMs, calculated using Fine-Gray competing risk regression, revealed similar findings: women who received PORT had significantly higher cumulative incidence of all SPMs (aHR = 1.52, p < 0.001) and SPSMs (aHR = 1.54, p < 0.001), consistent with the primary analysis results. Moreover, YWBC who were Black race, not married, estrogen receptor negative and progesterone receptor negative had a higher risk of developing SPMs. Conclusion: PORT for YWBC was associated with elevated risks of SPMs. The risk of PORT-related SPMs increased with a longer follow-up period, suggesting the need for long-term surveillance of these patients.","Breast cancer,Postoperative radiotherapy,Second primary malignancy,SEER","English",,,10.1007/s12672-026-05045-6
"Global burden of breast cancer and its association with red meat consumption: spatiotemporal trends, projections, and triangulation of evidence","Wang Z., Gao J., Liu Z., Gong Y., Xu X., Zhao H., Zhang Y., Zhang L.","World Journal of Surgical Oncology ","2026","Article","1477-7819 (electronic)","Background: Despite being the leading cause of cancer–related deaths among women globally, a comprehensive understanding of breast cancer (BC) remains limited due to gaps in data quality, geographic coverage, burden metrics, and risk factor attribution. This study utilized a multi–model approach to assess the global burden of BC and its projected trends, complemented by Mendelian randomization (MR) analysis to explore the potential causal relationship between red meat consumption and BC risk. Methods: This study utilized GBD data from 1990 to 2021 to assess the epidemiology of BC. Temporal trends and risk factor dynamics were examined using joinpoint regression and age–period–cohort (APC) analyses. Bayesian APC modeling was employed to project the disease burden through 2030. The analysis was stratified by socio–demographic index (SDI) and conducted by continent. Disease attribution factors were validated through MR. Results: The study identified significant geographical and gender disparities in global BC epidemiological patterns in 2021. Analysis of data from 1990 to 2021 revealed age–dependent variations in disease burden, particularly affecting populations aged 50 years and older. Although global disability–adjusted life years (DALYs) and mortality rates exhibited an overall decline, incidence rates continued to rise. Female DALYs consistently exceeded those of males, with male metrics showing post–peak declines and projected further reductions by 2030. Both genders demonstrated increasing trends in incidence and prevalence, with females exhibiting notably higher rates in high–income regions, including North America, Western Europe, Australia, and New Zealand. In contrast, males showed a relative predominance in certain African countries, parts of Western Europe, and China. The disease burden was inversely associated with the socio–demographic index (SDI), indicating limited improvements in regions with low SDI. By 2021, high red meat intake and elevated BMI were identified as the leading contributors to BC mortality in the GBD comparative risk assessment framework. Exploratory Mendelian randomization analysis provided suggestive evidence that genetically predicted beef consumption may be associated with increased BC risk, though these findings should be interpreted cautiously due to methodological limitations. Conclusion: The global burden of BC is increasing, particularly in low– and middle–SDI regions, highlighting the urgent need for coordinated international efforts to strengthen prevention and control strategies. Priority interventions should combine evidence–based screening practices from high–SDI settings with affordable, targeted therapies, while simultaneously expanding access to treatment, increasing healthcare capacity, and enhancing health education in resource–limited areas. Furthermore, addressing modifiable risk factors requires comprehensive dietary interventions, including promoting plant-based nutrition, launching community-based obesity prevention programs, and implementing public health strategies to reduce red meat consumption at the population level.","Age–period–cohort,Bayesian age–period–cohor,Breast cancer,Burden of disease,Joinpoint","English",,42192421,10.1186/s12957-026-04426-z
"Disparities in breast cancer incidence and survival by age, race, and molecular subtype in US women","Wang L., Wan Z., Dhillon V., Wang X., Yin Z., Ezeana C.F., Niravath P., Puri A., Sun K., Chang J., Wong S.T.C.","npj Breast Cancer","2026","Article","2374-4677 (electronic)","Using SEER datasets spanning nearly five decades, we identified a striking longitudinal shift in the breast cancer mortality burden from older to younger women, revealing an evolving risk landscape that warrant challenges to prevailing assumptions about age-related vulnerability. Leveraging contemporary data (2010–2022), we examined how molecular subtype, race, and age intersect jointly to shape survival disparities. As expected, young Black women with triple-negative breast cancer (HR−/HER2−) exhibited significantly elevated hazard ratios, underscoring their urgent need for targeted interventions and prevention strategies. Importantly, we also uncovered disproportionately high mortality risks among Asian women: those under 50 years experienced poorer outcomes for triple-negative breast cancer. These findings suggest that distinct biological, hormonal, and sociodemographic factors may contribute to heterogeneity in cancer progression and survival across populations. In addition, demographic analyses revealed that Asian and Hispanic women have steadily increased in proportional representation, surpassing Black patients recently, underscoring critical population shifts in the breast cancer burden. Together, these results not only broaden current understanding of how age, ancestry, and molecular subtype converge to drive disparities, but also underscore the urgent need to embed these dimensions into personalized prevention, precision diagnostics, and tailored therapeutic strategies to reduce inequities in breast cancer outcomes.",,"English",,,10.1038/s41523-026-00935-y
"Associations of neighborhood racial and ethnic, economical, and educational segregation with breast cancer risk: The Multiethnic ohort Study","Ihenacho U., Khan-Gates J., Lin K., Abe J.V., Inamdar P.P., Yang J., Li Y., Sangaramoorthy M., Haiman C.A., Le Marchand L., Wilkens L.R., Gomez S.L., Shariff-Marco S., Wu A.H., Cheng I.","Cancer Causes and Control","2026","Article","1573-7225 (electronic),0957-5243","Purpose: Residential segregation is recognized as an upstream driver of poor health, yet few studies have evaluated its impact on breast cancer incidence at a local level. We examined associations of neighborhood residential segregation with breast cancer (BC) incidence in the Multiethnic Cohort Study (MEC). Methods: Measures of Index of Concentration at the Extremes were developed to assess residential segregation by income, education, race and ethnicity, and racialized income. A prospective study (1993–1996 through December 2019) was conducted to examine associations of these measures and breast cancer incidence for 101,785 African American, Japanese American, Latina, Native Hawaiian, and White female participants in the MEC, aged 45–75 years at baseline and residing in California and Hawai‘i. Multivariable Cox regression was conducted to evaluate the associations of several residential segregation measures with breast cancer incidence (cases = 7,381) adjusting for demographic, lifestyle, and reproductive factors. Results: In California, BC risk was higher for females residing in neighborhoods with the highest compared to lowest concentration of privilege by income segregation (quintile 5 [Q5] vs. Q1: hazard ratio [HR] 1.12, 95% confidence interval [CI] 1.00–1.25, P(trend) = 0.001) and education segregation (Q5 vs. Q1: HR 1.15, 95% CI 1.01–1.31; P(trend) = 0.01). For Latina females, risks increased with increasing privilege for measures of income, education, race and ethnicity, and racialized income residential segregation (P(trends) < 0.05). No associations were observed in Hawai‘i. Conclusion: In California, residential economic privilege was independently associated with increased BC risk. Future studies should examine neighborhood- and individual-level pathways placing females residing in privileged areas at greater risk.","Breast cancer,Cohort studies,Female,Health disparities,Incidence,Neighborhood,Residential segregation","English",,42496782,10.1007/s10552-026-02187-4
