"Breast"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2023"
"By Race/Ethnicity, Delay-adjusted SEER Incidence Rate, Female, All Ages, All Stages"

"","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","142.5","141.4","143.5","144.5"
"2001","142.9","141.8","144.0","140.9"
"2002","139.5","138.5","140.6","137.4"
"2003","131.5","130.5","132.6","134.0"
"2004","130.5","129.4","131.5","130.7"
"2005","129.7","128.7","130.7","131.2"
"2006","131.6","130.5","132.6","131.7"
"2007","133.6","132.6","134.6","132.2"
"2008","134.3","133.2","135.3","132.8"
"2009","136.1","135.0","137.1","133.3"
"2010","131.9","130.9","132.9","133.8"
"2011","133.8","132.8","134.8","134.3"
"2012","133.5","132.4","134.5","134.8"
"2013","134.5","133.5","135.5","135.4"
"2014","136.4","135.3","137.4","135.9"
"2015","137.5","136.4","138.5","136.4"
"2016","135.6","134.6","136.7","137.0"
"2017","138.0","137.0","139.1","138.5"
"2018","140.1","139.0","141.2","140.0"
"2019","143.5","142.4","144.6","141.5"
"2020","130.9","129.9","132.0","143.0"
"2021","145.8","144.7","146.9","144.6"
"2022","144.2","143.1","145.3","146.1"
"2023","147.7","146.6","148.8","147.7"


"Data Source:"
"-SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Mon Aug 10 2026.
