"Breast"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2023"
"By Race/Ethnicity, Observed SEER Incidence Rate, Female, All Ages, All Stages"

"Regression Line Segment Trends (shown on graph)"
"Race/Ethnicity","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates","Annual Percent Change (APC) Estimates"
"Race/Ethnicity","Year Range","APC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Races / Ethnicities","2000-2004","-2.3","-4.8","-1.1","0.01","Falling"
"All Races / Ethnicities","2004-2016","0.4","-0.5","1.5","0.20","Not Significant"
"All Races / Ethnicities","2016-2023","1.0","0.5","2.7","0.03","Rising"
"Hispanic (any race)","2000-2010","-0.0","-1.2","0.5","0.82","Not Significant"
"Hispanic (any race)","2010-2023","1.4","1.1","1.8","<0.01","Rising"
"Non-Hispanic American Indian / Alaska Native","2000-2023","1.5","1.1","1.9","<0.01","Rising"
"Non-Hispanic Asian / Pacific Islander","2000-2005","-0.0","-2.7","1.2","0.91","Not Significant"
"Non-Hispanic Asian / Pacific Islander","2005-2016","1.4","0.5","2.1","0.02","Rising"
"Non-Hispanic Asian / Pacific Islander","2016-2021","3.3","2.5","4.2","<0.01","Rising"
"Non-Hispanic Asian / Pacific Islander","2021-2023","-1.6","-3.6","1.0","0.12","Not Significant"
"Non-Hispanic Black","2000-2023","0.6","0.5","0.7","<0.01","Rising"
"Non-Hispanic White","2000-2004","-2.7","-6.2","-1.0","<0.01","Falling"
"Non-Hispanic White","2004-2023","0.5","0.4","0.8","<0.01","Rising"
"Black (includes Hispanic)","2000-2023","0.6","0.4","0.7","<0.01","Rising"
"White (includes Hispanic)","2000-2004","-2.8","-6.2","-1.1","<0.01","Falling"
"White (includes Hispanic)","2004-2023","0.5","0.3","0.7","<0.01","Rising"


"Recent 5 and 10 Year Trends"
"Race/Ethnicity","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates","Average Annual Percent Change (AAPC) Estimates"
"Race/Ethnicity","Year Range","AAPC (%)","Lower 95% C.I.","Upper 95% C.I.","P-Value","Direction"
"All Races / Ethnicities","2014-2023","0.9","0.5","1.1","<0.01","Rising"
"All Races / Ethnicities","2019-2023","1.0","0.5","1.8","0.02","Rising"
"Hispanic (any race)","2014-2023","1.4","1.1","1.7","<0.01","Rising"
"Hispanic (any race)","2019-2023","1.4","1.1","1.8","<0.01","Rising"
"Non-Hispanic American Indian / Alaska Native","2014-2023","1.5","1.1","1.9","<0.01","Rising"
"Non-Hispanic American Indian / Alaska Native","2019-2023","1.5","1.1","1.9","<0.01","Rising"
"Non-Hispanic Asian / Pacific Islander","2014-2023","1.8","1.4","2.1","<0.01","Rising"
"Non-Hispanic Asian / Pacific Islander","2019-2023","0.8","-0.1","1.5","0.06","Not Significant"
"Non-Hispanic Black","2014-2023","0.6","0.5","0.7","<0.01","Rising"
"Non-Hispanic Black","2019-2023","0.6","0.5","0.7","<0.01","Rising"
"Non-Hispanic White","2014-2023","0.5","0.4","0.8","<0.01","Rising"
"Non-Hispanic White","2019-2023","0.5","0.4","0.8","<0.01","Rising"
"Black (includes Hispanic)","2014-2023","0.6","0.4","0.7","<0.01","Rising"
"Black (includes Hispanic)","2019-2023","0.6","0.4","0.7","<0.01","Rising"
"White (includes Hispanic)","2014-2023","0.5","0.3","0.7","<0.01","Rising"
"White (includes Hispanic)","2019-2023","0.5","0.3","0.7","<0.01","Rising"


"Data Source:"
"-SEER Incidence Data, November 2025 Submission (1975-2023), SEER 21 registries [https://seer.cancer.gov/registries/terms.html]."
"Methodology:"
"-Rates are per 100,000 and are age-adjusted to the 2000 US Std Population (20 age groups - Census P25-1130)."
"-The Annual Percent Change (APC) and Average Annual Percent Change (AAPC) estimates were calculated from the underlying rates using the Joinpoint Trend Analysis Software [https://surveillance.cancer.gov/joinpoint], Version 6.0, March 2026, National Cancer Institute using the default settings. The underlying rates supplied to Joinpoint were exported from SEER*Stat at the maximum available precision and included the standard error for the rate."
"-The APC's/AAPC's direction is 'Rising' when the entire 95% confidence interval (C.I.) is above 0, 'Falling' when the entire 95% C.I. is lower than 0, otherwise, the trend is considered 'Not Significant'."
"-The 2020 incidence rate(s) were not used in the fit of the trend line(s) and are displayed on the graph as gray data points. Impact of COVID on SEER Cancer Incidence 2020 data [https://seer.cancer.gov/data/covid-impact.html]"
"Race/Ethnicity Coding:"
"-For more details on SEER race/ethnicity groupings, please see Race and Hispanic Ethnicity Changes [https://seer.cancer.gov/seerstat/variables/seer/race_ethnicity/]."
"-Rates for American Indians/Alaska Natives only include cases that are in a Purchased/Referred Care Delivery Area (PRCDA). "
"-Incidence data for Hispanics and Non-Hispanics are based on the NAACCR Hispanic Latino Identification Algorithm (NHIA). "
"Cancer Site Coding:"
"-See SEER*Explorer Cancer Site Definitions [https://seer.cancer.gov/statistics-network/explorer/cancer-sites.html] for details about the cancer site coding used for SEER Incidence data."
"-Stage at diagnosis is calculated using the Combined Summary Stage (2004+) recode, created from SEER Combined Summary Stage 2000 (2004-2017) & Derived Summary Stage 2018 (2018+). For more information, see the SEER documentation [https://seer.cancer.gov/seerstat/variables/seer/lrd-stage]."
Created by https://seer.cancer.gov/statistics-network/explorer/ on Mon Aug 10 2026.
