"Breast"
"Recent Trends in SEER Age-Adjusted Incidence Rates, 2000-2023"
"By Race/Ethnicity, Observed SEER Incidence Rate, Female, All Ages, All Stages"

"","All Races / Ethnicities","All Races / Ethnicities","All Races / Ethnicities","All Races / Ethnicities","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Hispanic (any race)","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic American Indian / Alaska Native","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Asian / Pacific Islander","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic Black","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White","Non-Hispanic White","Black (includes Hispanic)","Black (includes Hispanic)","Black (includes Hispanic)","Black (includes Hispanic)","White (includes Hispanic)","White (includes Hispanic)","White (includes Hispanic)","White (includes Hispanic)"
"Year of Diagnosis","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)","Rate per 100,000","Lower 95% C.I.","Upper 95% C.I.","Modeled Rate (Trend Line)"
"2000","132.6","131.8","133.5","134.0","98.2","95.9","100.6","95.1","88.5","75.7","102.8","90.6","89.3","86.3","92.4","90.6","120.4","117.8","123.1","118.2","142.5","141.4","143.5","144.8","118.2","115.6","120.8","116.2","137.3","136.3","138.3","139.3"
"2001","132.1","131.2","132.9","130.9","94.8","92.6","97.0","95.0","96.1","82.8","110.9","91.9","91.6","88.7","94.6","90.6","118.4","115.9","121.0","119.0","142.9","141.8","144.0","140.9","116.2","113.7","118.7","116.9","136.9","135.9","137.9","135.4"
"2002","129.8","128.9","130.6","127.9","95.8","93.7","98.0","95.0","88.7","75.9","102.9","93.3","93.0","90.2","96.0","90.6","119.9","117.3","122.4","119.7","139.5","138.5","140.6","137.1","117.7","115.2","120.2","117.5","134.0","133.0","135.0","131.6"
"2003","123.0","122.2","123.9","124.9","92.9","90.8","95.0","94.9","93.2","80.6","107.2","94.6","87.7","84.9","90.4","90.6","119.1","116.6","121.7","120.4","131.5","130.5","132.6","133.4","116.8","114.4","119.3","118.2","126.3","125.4","127.3","128.0"
"2004","122.0","121.2","122.8","122.0","91.7","89.7","93.8","94.9","102.5","89.2","117.1","96.0","90.7","88.0","93.5","90.6","118.8","116.3","121.4","121.2","130.5","129.4","131.5","129.7","116.7","114.3","119.1","118.8","125.2","124.3","126.1","124.4"
"2005","121.7","120.9","122.5","122.5","95.3","93.3","97.3","94.9","97.5","84.8","111.6","97.4","91.0","88.3","93.7","90.5","119.1","116.7","121.6","121.9","129.7","128.7","130.7","130.5","116.6","114.3","119.1","119.5","124.9","124.0","125.8","125.0"
"2006","122.6","121.7","123.4","123.0","93.2","91.3","95.2","94.8","89.7","77.7","102.9","98.9","90.8","88.3","93.5","91.8","120.4","117.9","122.9","122.7","131.6","130.5","132.6","131.2","117.9","115.6","120.3","120.2","125.9","125.0","126.8","125.6"
"2007","124.6","123.8","125.4","123.5","94.5","92.6","96.4","94.8","96.2","84.0","109.7","100.3","93.8","91.2","96.4","93.1","125.0","122.5","127.5","123.4","133.6","132.6","134.6","131.9","122.0","119.6","124.4","120.8","127.8","126.9","128.7","126.2"
"2008","125.3","124.5","126.1","124.0","96.0","94.1","97.9","94.7","97.9","85.6","111.3","101.8","95.4","92.9","98.0","94.4","124.9","122.4","127.4","124.2","134.3","133.2","135.3","132.6","122.0","119.6","124.4","121.5","128.5","127.6","129.4","126.8"
"2009","126.8","126.0","127.6","124.5","97.8","95.9","99.7","94.7","106.1","93.6","119.8","103.3","94.1","91.6","96.6","95.7","128.9","126.5","131.4","124.9","136.1","135.0","137.1","133.3","125.7","123.3","128.1","122.2","130.1","129.2","131.0","127.4"
"2010","122.5","121.8","123.3","124.9","92.4","90.7","94.2","94.6","106.8","94.3","120.4","104.8","97.0","94.5","99.5","97.0","122.8","120.4","125.2","125.7","131.9","130.9","132.9","134.1","120.2","117.9","122.5","122.8","125.5","124.6","126.4","128.0"
"2011","125.0","124.2","125.7","125.4","97.1","95.3","98.9","95.9","114.0","101.0","128.1","106.4","98.8","96.4","101.3","98.4","126.9","124.5","129.4","126.5","133.8","132.8","134.8","134.8","124.8","122.5","127.2","123.5","127.5","126.6","128.4","128.6"
"2012","124.5","123.8","125.3","125.9","96.3","94.6","98.1","97.2","117.1","104.0","131.3","107.9","98.8","96.4","101.2","99.7","127.9","125.5","130.3","127.2","133.5","132.4","134.5","135.5","124.6","122.3","126.9","124.2","127.2","126.3","128.1","129.3"
"2013","126.1","125.3","126.9","126.4","100.5","98.7","102.2","98.6","102.5","90.9","115.3","109.5","103.2","100.8","105.7","101.1","129.6","127.3","132.0","128.0","134.5","133.5","135.5","136.3","126.5","124.2","128.8","124.9","128.6","127.7","129.5","129.9"
"2014","126.9","126.1","127.7","127.0","99.0","97.3","100.7","99.9","112.5","100.3","125.9","111.2","101.6","99.3","104.0","102.5","130.0","127.6","132.4","128.8","136.4","135.3","137.4","137.0","126.9","124.6","129.2","125.6","129.5","128.6","130.4","130.5"
